dataset,multiclass,smoke,n_full,n_used,subsampled,split_type,seed,k,model,accuracy,auroc,f1,n_train,n_test,pos_frac_train,pos_frac_test,target_test_frac
human_nontata_promoters,False,False,36131,20000,True,original,-1,4,LR,0.8234353129374126,0.8942181344577909,0.8289091261383453,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,original,-1,4,RF,0.8604279144171165,0.9573528179139507,0.8600641539695268,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,original,-1,6,LR,0.8618276344731054,0.9268960714907445,0.8656426210383045,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,original,-1,6,RF,0.8936212757448511,0.9782363617607046,0.8961343225302616,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,0,4,LR,0.8254349130173965,0.8990356035255356,0.8290581554728803,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,0,4,RF,0.8610277944411118,0.9634194246181422,0.8591691995947315,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,0,6,LR,0.8562287542491501,0.928421246058918,0.8592128451145487,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,0,6,RF,0.8960207958408318,0.979454389833459,0.8981989036805011,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,1,4,LR,0.8170365926814637,0.8922551693456353,0.8204121687929342,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,1,4,RF,0.8578284343131374,0.959404679007331,0.8554584265094531,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,1,6,LR,0.8542291541691661,0.9268204736390775,0.856241372510353,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,1,6,RF,0.8902219556088782,0.979705684184736,0.8918226600985222,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
human_nontata_promoters,False,False,36131,20000,True,random,2,4,LR,0.8164367126574685,0.8870041006595872,0.8214702450408401,14999,5001,0.5440362690846057,0.5440911817636472,0.25005
