dataset,model,group,delta,ci_cluster,se_approx,z_approx,p_approx,excl0_uncorrected,bh_significant
human_nontata_promoters,RF_k6,leaky,0.1083,"[0.0915, 0.1256]",0.0087,12.45,1.407e-35,True,True
human_nontata_promoters,LR_k6,leaky,0.0407,"[0.0253, 0.0569]",0.00806,5.05,4.447e-07,True,True
human_enhancers_ensembl,RF_k6,leaky,0.1639,"[0.1552, 0.1727]",0.00446,36.71,4.543e-295,True,True
human_enhancers_ensembl,LR_k6,leaky,0.0004,"[-0.0075, 0.0081]",0.00398,0.1,9.199e-01,False,False
human_enhancers_cohn,RF_k6,clean/3-class,-0.0052,"[-0.0230, 0.0132]",0.00923,-0.56,5.734e-01,False,False
human_enhancers_cohn,LR_k6,clean/3-class,-0.0016,"[-0.0188, 0.0160]",0.00888,-0.18,8.570e-01,False,False
human_ocr_ensembl,RF_k6,clean/3-class,0.0139,"[-0.0071, 0.0349]",0.01071,1.3,1.945e-01,False,False
human_ocr_ensembl,LR_k6,clean/3-class,0.0059,"[-0.0150, 0.0266]",0.01061,0.56,5.782e-01,False,False
demo_human_or_worm,RF_k6,clean/3-class,-0.0044,"[-0.0151, 0.0062]",0.00543,-0.81,4.181e-01,False,False
demo_human_or_worm,LR_k6,clean/3-class,-0.0034,"[-0.0130, 0.0061]",0.00487,-0.7,4.853e-01,False,False
demo_coding_vs_intergenomic_seqs,RF_k6,clean/3-class,0.0006,"[-0.0136, 0.0149]",0.00727,0.08,9.342e-01,False,False
demo_coding_vs_intergenomic_seqs,LR_k6,clean/3-class,0.0056,"[-0.0069, 0.0182]",0.0064,0.87,3.818e-01,False,False
drosophila_enhancers_stark,RF_k6,clean/3-class,0.0235,"[-0.0067, 0.0539]",0.01546,1.52,1.285e-01,False,False
drosophila_enhancers_stark,LR_k6,clean/3-class,0.0229,"[-0.0075, 0.0532]",0.01548,1.48,1.392e-01,False,False
human_ensembl_regulatory,RF_k6,clean/3-class,0.0008,"[-0.0048, 0.0063]",0.00283,0.28,7.775e-01,False,False
