dataset,proxy,cut,stratum,n_seqs,n_seqs_high,frac_seqs_high,len_med,n_pairs,jaccard_median,jaccard_mean,jaccard_p99,jaccard_max,n_pairs_over_0p7,frac_pairs_over_0p7,frac_over_0p7_hi,n_pairs_over_0p3,n_pairs_over_0p5,n_flagged_homologous_sw,n_flagged_false_positive,false_positive_rate,false_positive_rate_hi,n_flagged_cross_split,n_flagged_repeat_rich
human_ocr_ensembl,dust_lowcomplexity,>0.1,high-high,6000,663,0.1105,316,244,0.004364,0.00613,0.031864,0.056818,0,0.0,0.01500465,0.0,0,,,,,,
human_ocr_ensembl,dust_lowcomplexity,>0.1,high-low,6000,663,0.1105,316,3952,0.003428,0.004835,0.026308,0.155556,0,0.0,0.00093299,0.0,0,,,,,,
human_ocr_ensembl,dust_lowcomplexity,>0.1,low-low,6000,663,0.1105,316,15799,0.003442,0.004493,0.018902,0.309896,0,0.0,0.00023346,1.0,0,,,,,,
human_ocr_ensembl,dust_lowcomplexity,>0.1,any-high,6000,663,0.1105,316,4196,0.003469,0.00491,0.027669,0.155556,0,0.0,0.00087876,0.0,0,,,,,,
human_ocr_ensembl,kmer_repeatish,>p90=0.0466,high-high,6000,600,0.1,316,201,0.003466,0.008156,0.109966,0.178571,0,0.0,0.01818525,0.0,0,,,,,,
human_ocr_ensembl,kmer_repeatish,>p90=0.0466,high-low,6000,600,0.1,316,3661,0.00314,0.004643,0.032009,0.155556,0,0.0,0.00100711,0.0,0,,,,,,
human_ocr_ensembl,kmer_repeatish,>p90=0.0466,low-low,6000,600,0.1,316,16133,0.003521,0.004522,0.018747,0.309896,0,0.0,0.00022863,1.0,0,,,,,,
human_ocr_ensembl,kmer_repeatish,>p90=0.0466,any-high,6000,600,0.1,316,3862,0.00315,0.004826,0.035897,0.178571,0,0.0,0.00095472,0.0,0,,,,,,
drosophila_enhancers_stark,dust_lowcomplexity,>0.1,high-high,6000,692,0.1153,2143,267,0.032497,0.031824,0.053003,0.06518,0,0.0,0.01372102,0.0,0,,,,,,
drosophila_enhancers_stark,dust_lowcomplexity,>0.1,high-low,6000,692,0.1153,2143,4186,0.028464,0.028453,0.047054,0.055882,0,0.0,0.00088085,0.0,0,,,,,,
drosophila_enhancers_stark,dust_lowcomplexity,>0.1,low-low,6000,692,0.1153,2143,15545,0.026091,0.025952,0.042183,0.508886,0,0.0,0.00023728,2.0,1,,,,,,
drosophila_enhancers_stark,dust_lowcomplexity,>0.1,any-high,6000,692,0.1153,2143,4453,0.028638,0.028655,0.047863,0.06518,0,0.0,0.00082806,0.0,0,,,,,,
drosophila_enhancers_stark,kmer_repeatish,>p90=0.0674,high-high,6000,600,0.1,2143,208,0.033784,0.032339,0.052763,0.06518,0,0.0,0.01757866,0.0,0,,,,,,
drosophila_enhancers_stark,kmer_repeatish,>p90=0.0674,high-low,6000,600,0.1,2143,3631,0.028863,0.028442,0.048092,0.06074,0,0.0,0.00101542,0.0,0,,,,,,
drosophila_enhancers_stark,kmer_repeatish,>p90=0.0674,low-low,6000,600,0.1,2143,16159,0.026204,0.026055,0.041795,0.508886,0,0.0,0.00022826,2.0,1,,,,,,
drosophila_enhancers_stark,kmer_repeatish,>p90=0.0674,any-high,6000,600,0.1,2143,3839,0.029065,0.028653,0.048683,0.06518,0,0.0,0.00096043,0.0,0,,,,,,
human_enhancers_cohn,dust_lowcomplexity,>0.1,high-high,6000,742,0.1237,500,290,0.007435,0.009908,0.051057,0.116092,0,0.0,0.01263971,0.0,0,,,,,,
human_enhancers_cohn,dust_lowcomplexity,>0.1,high-low,6000,742,0.1237,500,4300,0.006309,0.007557,0.028881,0.127686,0,0.0,0.00085751,0.0,0,,,,,,
human_enhancers_cohn,dust_lowcomplexity,>0.1,low-low,6000,742,0.1237,500,15408,0.006211,0.007157,0.02314,0.15601,0,0.0,0.00023938,0.0,0,,,,,,
human_enhancers_cohn,dust_lowcomplexity,>0.1,any-high,6000,742,0.1237,500,4590,0.006336,0.007705,0.030183,0.127686,0,0.0,0.00080335,0.0,0,,,,,,
human_enhancers_cohn,kmer_repeatish,>p90=0.0446,high-high,6000,595,0.0992,500,200,0.006583,0.010794,0.079374,0.15601,0,0.0,0.01827534,0.0,0,,,,,,
human_enhancers_cohn,kmer_repeatish,>p90=0.0446,high-low,6000,595,0.0992,500,3571,0.006316,0.007589,0.046776,0.119527,0,0.0,0.00103248,0.0,0,,,,,,
human_enhancers_cohn,kmer_repeatish,>p90=0.0446,low-low,6000,595,0.0992,500,16227,0.006224,0.007172,0.022152,0.116092,0,0.0,0.0002273,0.0,0,,,,,,
human_enhancers_cohn,kmer_repeatish,>p90=0.0446,any-high,6000,595,0.0992,500,3771,0.006322,0.007759,0.049516,0.15601,0,0.0,0.00097774,0.0,0,,,,,,
human_ocr_ensembl,EXHAUSTIVE_all_pairs,-,ALL,6000,663,0.1105,316,17997000,,,,0.765799,5,2.778e-07,,,58,5.0,0.0,0.0,2.05e-07,1.0,0.0
drosophila_enhancers_stark,EXHAUSTIVE_all_pairs,-,ALL,6000,692,0.1153,2143,17997000,,,,0.980722,78,4.3341e-06,,,151,78.0,0.0,0.0,2.05e-07,26.0,13.0
human_enhancers_cohn,EXHAUSTIVE_all_pairs,-,ALL,6000,742,0.1237,500,17997000,,,,0.0,0,0.0,,,7,0.0,0.0,0.0,2.05e-07,0.0,0.0
