dataset,n_test,n_train,metric,threshold,leak_fwd,leak_canon,delta,rel_increase,verdict_fwd,verdict_canon,verdict_moved
human_nontata_promoters,9034,27097,jaccard,0.7,0.4064,0.416,0.0096,0.0237,LEAKY,LEAKY,0
human_nontata_promoters,9034,27097,jaccard,0.9,0.2254,0.2308,0.0054,0.0241,LEAKY,LEAKY,0
human_nontata_promoters,9034,27097,containment,0.7,0.4452,0.4596,0.0144,0.0323,LEAKY,LEAKY,0
human_nontata_promoters,9034,27097,containment,0.9,0.3361,0.3426,0.0065,0.0194,LEAKY,LEAKY,0
human_enhancers_ensembl,30970,123872,jaccard,0.7,0.3839,0.3845,0.0006,0.0017,LEAKY,LEAKY,0
human_enhancers_ensembl,30970,123872,jaccard,0.9,0.3802,0.3803,0.0002,0.0004,LEAKY,LEAKY,0
human_enhancers_ensembl,30970,123872,containment,0.7,0.8454,0.9172,0.0718,0.085,LEAKY,LEAKY,0
human_enhancers_ensembl,30970,123872,containment,0.9,0.816,0.8965,0.0806,0.0987,LEAKY,LEAKY,0
human_enhancers_cohn,5000,15000,jaccard,0.7,0.0012,0.0018,0.0006,0.5,clean,clean,0
human_enhancers_cohn,5000,15000,jaccard,0.9,0.0004,0.0004,0.0,0.0,clean,clean,0
human_enhancers_cohn,5000,15000,containment,0.7,0.0042,0.006,0.0018,0.4286,clean,clean,0
human_enhancers_cohn,5000,15000,containment,0.9,0.0004,0.0008,0.0004,1.0,clean,clean,0
human_ocr_ensembl,4000,16000,jaccard,0.7,0.0015,0.0027,0.0012,0.8333,clean,clean,0
human_ocr_ensembl,4000,16000,jaccard,0.9,0.0,0.0,0.0,,clean,clean,0
human_ocr_ensembl,4000,16000,containment,0.7,0.0325,0.0413,0.0088,0.2692,clean,clean,0
human_ocr_ensembl,4000,16000,containment,0.9,0.0063,0.0095,0.0032,0.52,clean,clean,0
demo_human_or_worm,5000,15000,jaccard,0.7,0.0032,0.0062,0.003,0.9375,clean,clean,0
demo_human_or_worm,5000,15000,jaccard,0.9,0.0012,0.0018,0.0006,0.5,clean,clean,0
demo_human_or_worm,5000,15000,containment,0.7,0.008,0.015,0.007,0.875,clean,clean,0
demo_human_or_worm,5000,15000,containment,0.9,0.0024,0.0044,0.002,0.8333,clean,clean,0
demo_coding_vs_intergenomic_seqs,5000,15000,jaccard,0.7,0.0224,0.0226,0.0002,0.0089,clean,clean,0
demo_coding_vs_intergenomic_seqs,5000,15000,jaccard,0.9,0.0064,0.0064,0.0,0.0,clean,clean,0
demo_coding_vs_intergenomic_seqs,5000,15000,containment,0.7,0.0434,0.046,0.0026,0.0599,clean,clean,0
demo_coding_vs_intergenomic_seqs,5000,15000,containment,0.9,0.012,0.0118,-0.0002,-0.0167,clean,clean,0
drosophila_enhancers_stark,1730,5184,jaccard,0.7,0.0156,0.0185,0.0029,0.1852,clean,clean,0
drosophila_enhancers_stark,1730,5184,jaccard,0.9,0.0058,0.0069,0.0012,0.2,clean,clean,0
drosophila_enhancers_stark,1730,5184,containment,0.7,0.0329,0.0376,0.0046,0.1404,clean,clean,0
drosophila_enhancers_stark,1730,5184,containment,0.9,0.0168,0.0197,0.0029,0.1724,clean,clean,0
human_ensembl_regulatory,3993,16007,jaccard,0.7,0.0,0.0008,0.0008,,clean,clean,0
human_ensembl_regulatory,3993,16007,jaccard,0.9,0.0,0.0,0.0,,clean,clean,0
human_ensembl_regulatory,3993,16007,containment,0.7,0.014,0.0193,0.0053,0.375,clean,clean,0
human_ensembl_regulatory,3993,16007,containment,0.9,0.0028,0.003,0.0003,0.0909,clean,clean,0
