dataset,threshold,n_components,n_singletons,n_multi,max_cluster,top5_sizes,n_redundant,frac_redundant,clusters_spanning_split,resid_leak_frac,test_frac,pos_train,pos_test
human_nontata_promoters,0.5,12914,11332,1582,226,"[31, 31, 33, 51, 226]",7086,0.3543,0,0.0,0.2501,0.544072543005734,0.5439824070371851
human_nontata_promoters,0.7,14771,12642,2129,226,"[16, 17, 21, 50, 226]",5229,0.26145,0,0.0,0.2501,0.544072543005734,0.5439824070371851
human_nontata_promoters,0.9,17856,16348,1508,60,"[13, 19, 26, 58, 60]",2144,0.1072,0,0.0,0.2501,0.544072543005734,0.5439824070371851
human_enhancers_cohn,0.5,19890,19830,60,12,"[5, 5, 6, 10, 12]",110,0.0055,0,0.0,0.25,0.5,0.5
human_enhancers_cohn,0.7,19989,19978,11,2,"[2, 2, 2, 2, 2]",11,0.00055,0,0.0,0.25,0.5,0.5
human_enhancers_cohn,0.9,19997,19994,3,2,"[1, 1, 2, 2, 2]",3,0.00015,0,0.0,0.25,0.5,0.5
human_enhancers_ensembl,0.5,19216,18576,640,48,"[8, 12, 19, 33, 48]",784,0.0392,0,0.0,0.20005,0.500031251953247,0.49987503124218946
human_enhancers_ensembl,0.7,19302,18697,605,18,"[11, 12, 13, 17, 18]",698,0.0349,0,0.0,0.20005,0.500031251953247,0.49987503124218946
human_enhancers_ensembl,0.9,19324,18722,602,16,"[9, 9, 13, 14, 16]",676,0.0338,0,0.0,0.2,0.5,0.5
human_ocr_ensembl,0.5,19752,19658,94,40,"[7, 8, 16, 39, 40]",248,0.0124,0,0.0,0.2,0.4999375,0.50025
human_ocr_ensembl,0.7,19966,19939,27,4,"[3, 3, 3, 3, 4]",34,0.0017,0,0.0,0.20005,0.500031251953247,0.49987503124218946
human_ocr_ensembl,0.9,19996,19992,4,2,"[1, 2, 2, 2, 2]",4,0.0002,0,0.0,0.2,0.5,0.5
demo_human_or_worm,0.5,19865,19757,108,6,"[4, 4, 4, 4, 6]",135,0.00675,0,0.0,0.25,0.5,0.5
demo_human_or_worm,0.7,19948,19899,49,3,"[2, 2, 3, 3, 3]",52,0.0026,0,0.0,0.25,0.5,0.5
demo_human_or_worm,0.9,19986,19972,14,2,"[2, 2, 2, 2, 2]",14,0.0007,0,0.0,0.25,0.5,0.5
demo_coding_vs_intergenomic_seqs,0.5,19307,18828,479,16,"[8, 8, 10, 13, 16]",693,0.03465,0,0.0,0.25,0.5,0.5
demo_coding_vs_intergenomic_seqs,0.7,19696,19424,272,5,"[4, 4, 4, 5, 5]",304,0.0152,0,0.0,0.25,0.5,0.5
demo_coding_vs_intergenomic_seqs,0.9,19923,19847,76,3,"[2, 2, 2, 2, 3]",77,0.00385,0,0.0,0.25,0.5,0.5
drosophila_enhancers_stark,0.5,6751,6614,137,9,"[3, 4, 5, 7, 9]",163,0.02357535435348568,0,0.0,0.25036158518947066,0.5000964692263168,0.49971114962449453
drosophila_enhancers_stark,0.7,6826,6747,79,5,"[3, 3, 3, 3, 5]",88,0.012727798669366503,0,0.0,0.25036158518947066,0.49951765386841596,0.5014442518775274
drosophila_enhancers_stark,0.9,6889,6867,22,5,"[2, 2, 2, 2, 5]",25,0.003615851894706393,0,0.0,0.25036158518947066,0.4999035307736832,0.5002888503755055
dummy_mouse_enhancers_ensembl,0.5,1207,1204,3,2,"[1, 1, 2, 2, 2]",3,0.0024793388429752068,0,0.0,0.2,0.5,0.5
dummy_mouse_enhancers_ensembl,0.7,1209,1208,1,2,"[1, 1, 1, 1, 2]",1,0.0008264462809917355,0,0.0,0.2,0.5,0.5
dummy_mouse_enhancers_ensembl,0.9,1209,1208,1,2,"[1, 1, 1, 1, 2]",1,0.0008264462809917355,0,0.0,0.2,0.5,0.5
human_ensembl_regulatory,0.5,19932,19910,22,24,"[3, 3, 11, 13, 24]",68,0.0034,0,0.0,0.19975,,
human_ensembl_regulatory,0.7,19999,19998,1,2,"[1, 1, 1, 1, 2]",1,5e-05,0,0.0,0.1997,,
human_ensembl_regulatory,0.9,20000,20000,0,1,"[1, 1, 1, 1, 1]",0,0.0,0,0.0,0.1997,,
