dataset,cls,is_positive,coord_measurable,n_raw,n_test,n_merged,R_self,median_len,n_regions,n_unique_coords,frac_rows_on_dup_coord,max_coord_multiplicity,xsplit_exact,dup_frac_0.5,dup_frac_0.9,dup_frac_1.0,xsplit_ge1bp,xsplit_ge50pct,xsplit_ge90pct
human_enhancers_ensembl,negative,False,True,77421,15485,76886,0.0069,269,24,77421,0.0,1,0.0,0.0037,0.0002,0.0,0.0092,0.0023,0.0
human_enhancers_ensembl,positive,True,True,77421,15485,40933,0.4713,269,24,40934,0.9426,2,0.7552,0.9426,0.9426,0.9426,0.7553,0.7552,0.7552
human_enhancers_ensembl,ALL,False,True,154842,30970,117532,0.241,269,24,118355,0.4713,2,0.3776,0.4737,0.4714,0.4713,0.3851,0.3797,0.3776
human_nontata_promoters,negative,False,True,16474,4119,650,0.9605,251,22,16474,0.0,1,0.0,0.9965,0.8255,0.0,0.9956,0.992,0.7414
human_nontata_promoters,positive,True,True,19657,4915,18726,0.0474,251,24,19657,0.0,1,0.0,0.0546,0.0133,0.0,0.0698,0.0417,0.0098
human_nontata_promoters,ALL,False,True,36131,9034,19362,0.4641,251,24,36131,0.0,1,0.0,0.4843,0.3837,0.0,0.4925,0.4751,0.3434
human_ocr_ensembl,negative,False,True,87378,17476,86494,0.0101,315,24,87378,0.0,1,0.0,0.0082,0.0002,0.0,0.0162,0.0062,0.0002
human_ocr_ensembl,positive,True,True,87378,17476,87378,0.0,315,23,87378,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human_ocr_ensembl,ALL,False,True,174756,34952,173064,0.0097,315,24,174756,0.0,1,0.0,0.0076,0.0002,0.0,0.0154,0.0059,0.0002
human_ensembl_regulatory,enhancer,False,True,106890,21378,106890,0.0,400,23,106890,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human_ensembl_regulatory,ocr,False,True,87378,17476,87378,0.0,315,23,87378,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human_ensembl_regulatory,promoter,True,True,94793,18859,94793,0.0,600,23,94793,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human_ensembl_regulatory,ALL,False,True,289061,57713,289061,0.0,401,23,289061,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human_enhancers_cohn,negative,False,True,13896,3474,13771,0.009,500,22,13896,0.0,1,0.0,0.0086,0.0009,0.0,0.0135,0.006,0.0006
human_enhancers_cohn,positive,True,True,13895,3474,13895,0.0,500,24,13895,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human_enhancers_cohn,ALL,False,True,27791,6948,27666,0.0045,500,24,27791,0.0,1,0.0,0.0043,0.0004,0.0,0.0068,0.003,0.0003
demo_coding_vs_intergenomic_seqs,coding_seqs,False,False,50000,12500,50000,0.0,200,50000,50000,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo_coding_vs_intergenomic_seqs,intergenomic_seqs,True,True,50000,12500,49577,0.0085,200,24,50000,0.0,1,0.0,0.0079,0.0018,0.0,0.0132,0.0064,0.0018
demo_coding_vs_intergenomic_seqs,ALL,False,True,100000,25000,99577,0.0042,200,50024,100000,0.0,1,0.0,0.004,0.0009,0.0,0.0066,0.0032,0.0009
demo_human_or_worm,human,False,True,50000,12500,49813,0.0037,200,25,50000,0.0,1,0.0,0.0037,0.0006,0.0,0.0063,0.0028,0.0006
demo_human_or_worm,worm,True,True,50000,12500,45169,0.0966,200,7,49989,0.0004,2,0.0003,0.0969,0.0205,0.0004,0.1446,0.073,0.0148
demo_human_or_worm,ALL,False,True,100000,25000,94982,0.0502,200,32,99989,0.0002,2,0.0002,0.0503,0.0106,0.0002,0.0754,0.0379,0.0077
drosophila_enhancers_stark,negative,False,True,3457,865,3269,0.0544,2142,8,3457,0.0,1,0.0,0.0472,0.0087,0.0,0.0948,0.0358,0.0069
drosophila_enhancers_stark,positive,True,True,3457,865,2375,0.313,2142,6,3457,0.0,1,0.0,0.0058,0.0,0.0,0.4058,0.0035,0.0
drosophila_enhancers_stark,ALL,False,True,6914,1730,5517,0.2021,2142,8,6914,0.0,1,0.0,0.0428,0.0069,0.0,0.2659,0.0283,0.0052
