feature_k,model,seed,accuracy,auroc,f1
4,LR,0,0.8236725663716814,0.8934558063254137,0.8298826040554963
4,RF,0,0.8111725663716814,0.9016446426771196,0.8287348249222434
4,LR,1,0.8107150763781271,0.8794627383657649,0.8183556405353728
4,RF,1,0.8054018153641798,0.8894536076643558,0.8242702918832467
4,LR,2,0.8203738524499502,0.8924198529632941,0.8250753985351141
4,RF,2,0.8030085167569959,0.8945311448280486,0.8220956947357906
6,LR,0,0.8293141592920354,0.9120274440196883,0.8418895378624859
6,RF,0,0.8183628318584071,0.9279150836955006,0.8444191775630093
6,LR,1,0.8183528890856764,0.8979758096921765,0.833045070709126
6,RF,1,0.8112685410670799,0.9166020701031395,0.8405200636049013
6,LR,2,0.842274084725141,0.9119460789800826,0.8515511138871539
6,RF,2,0.8054418758986838,0.9188370253593692,0.8352224824355972
