suite,task,preregistered,n_train_full,n_test_full,n_train_used,n_test_used,subsampled,len_min,len_med,len_max,class_balance_majority,exact_dup_test_in_train,leak_jaccard_0p7,leak_jaccard_0p9,leak_containment_0p7,leak_containment_0p9,seconds,verdict,verdict_is_lower_bound
NT-original,promoter_no_tata,LEAKY,47767,5299,47767,5299,False,300,300,300,0.4959,0.0028,0.0125,0.007,0.0157,0.0096,12.1,clean,False
NT-original,promoter_all,LEAKY,53276,5920,53276,5920,False,300,300,300,0.5,0.0035,0.0127,0.0073,0.016,0.0101,14.4,clean,False
NT-original,promoter_tata,LEAKY,5509,621,5509,621,False,300,300,300,0.5346,0.0097,0.0145,0.0097,0.0161,0.0145,0.8,clean,False
NT-original,enhancers,LEAKY,14968,400,14968,400,False,199,199,200,0.5,0.25,0.25,0.25,0.25,0.25,0.9,LEAKY,False
NT-original,enhancers_types,LEAKY,14968,400,14968,400,False,199,199,200,0.25,0.25,0.25,0.25,0.25,0.25,0.9,LEAKY,False
NT-original,splice_sites_all,LEAKY,27000,3000,27000,3000,False,400,400,400,0.3333,0.0737,0.0977,0.0757,0.1327,0.0783,5.8,borderline,False
NT-original,splice_sites_acceptors,LEAKY,19961,2218,19961,2218,False,600,600,600,0.5041,0.0,0.2435,0.0766,0.3724,0.1573,4.9,LEAKY,False
NT-original,splice_sites_donors,LEAKY,19775,2198,19775,2198,False,600,600,600,0.4995,0.0,0.2452,0.0814,0.3699,0.1774,4.8,LEAKY,False
NT-original,H3K4me1,LEAKY,28509,3168,28509,3168,False,290,500,500,0.5451,0.0,0.0189,0.0,0.1354,0.0,7.9,borderline,False
NT-original,H3K4me2,LEAKY,27614,3069,27614,3069,False,290,500,500,0.5914,0.0,0.0196,0.0,0.1443,0.0003,7.4,borderline,False
NT-original,H3K4me3,LEAKY,33119,3680,33119,3680,False,290,500,500,0.5326,0.0,0.0217,0.0,0.1535,0.0008,10.3,borderline,False
NT-original,H3K9ac,LEAKY,25003,2779,25003,2779,False,290,500,500,0.5549,0.0,0.013,0.0,0.1342,0.0,6.7,borderline,False
NT-original,H3K36me3,LEAKY,31392,3488,31392,3488,False,310,500,500,0.5416,0.0,0.0181,0.0,0.1428,0.0003,9.3,borderline,False
NT-revised,promoter_no_tata,CLEAN,30000,1372,30000,1372,False,300,300,300,0.5,0.0,0.0,0.0,0.0066,0.0007,3.5,clean,False
NT-revised,promoter_all,CLEAN,30000,1584,30000,1584,False,300,300,300,0.5,0.0,0.0006,0.0,0.0063,0.0,3.4,clean,False
NT-revised,promoter_tata,CLEAN,5062,212,5062,212,False,300,300,300,0.5,0.0,0.0,0.0,0.0,0.0,0.5,clean,False
NT-revised,enhancers,CLEAN,30000,3000,30000,3000,False,400,400,400,0.4843,0.0,0.003,0.0,0.0163,0.0,6.7,clean,False
NT-revised,enhancers_types,CLEAN,30000,3000,30000,3000,False,400,400,400,0.0403,0.0,0.003,0.0,0.0163,0.0,6.8,clean,False
NT-revised,splice_sites_all,CLEAN,30000,3000,30000,3000,False,600,600,600,0.3397,0.0,0.001,0.0,0.0067,0.0,9.6,clean,False
NT-revised,splice_sites_acceptors,CLEAN,30000,3000,30000,3000,False,600,600,600,0.4917,0.0,0.001,0.0,0.0083,0.0,9.4,clean,False
NT-revised,splice_sites_donors,CLEAN,30000,3000,30000,3000,False,600,600,600,0.4933,0.0,0.001,0.0,0.0083,0.0,9.3,clean,False
NT-revised,H3K4me1,CLEAN,30000,3000,30000,3000,False,1000,1000,1000,0.5017,0.0,0.001,0.0,0.0123,0.0003,16.0,clean,False
NT-revised,H3K4me2,CLEAN,30000,2138,30000,2138,False,1000,1000,1000,0.5,0.0,0.0014,0.0,0.0122,0.0,12.5,clean,False
NT-revised,H3K4me3,CLEAN,17468,776,17468,776,False,1000,1000,1000,0.5,0.0,0.0013,0.0,0.0142,0.0,4.4,clean,False
NT-revised,H3K9ac,CLEAN,23274,1004,23274,1004,False,1000,1000,1000,0.5,0.0,0.002,0.0,0.012,0.0,6.2,clean,False
NT-revised,H3K36me3,CLEAN,30000,3000,30000,3000,False,1000,1000,1000,0.502,0.0,0.0013,0.0,0.012,0.0,15.8,clean,False
