suite,task,n_train,n_train_unique,train_internal_dup_rows,n_test,n_test_unique,exact_test_in_train_n,exact_test_in_train_frac,label_concordance_on_exact_dups,train_len_min,train_len_med,train_len_max,test_len_min,test_len_med,test_len_max
NT-original,promoter_no_tata,47767,47684,83,5299,5299,15,0.0028,1.0,300,300,300,300,300,300
NT-original,promoter_all,53276,53177,99,5920,5920,21,0.0035,1.0,300,300,300,300,300,300
NT-original,promoter_tata,5509,5493,16,621,621,6,0.0097,1.0,300,300,300,300,300,300
NT-original,enhancers,14968,14002,966,400,400,100,0.25,1.0,199,199,200,200,200,200
NT-original,enhancers_types,14968,14002,966,400,400,100,0.25,1.0,199,199,200,200,200,200
NT-original,splice_sites_all,27000,26011,989,3000,2986,221,0.0737,1.0,400,400,400,400,400,400
NT-original,splice_sites_acceptors,19961,19960,1,2218,2218,0,0.0,,600,600,600,600,600,600
NT-original,splice_sites_donors,19775,19775,0,2198,2198,0,0.0,,600,600,600,600,600,600
NT-original,H3K4me1,28509,28509,0,3168,3168,0,0.0,,290,500,500,310,500,500
NT-original,H3K4me2,27614,27614,0,3069,3069,0,0.0,,290,500,500,500,500,500
NT-original,H3K4me3,33119,33119,0,3680,3680,0,0.0,,290,500,500,500,500,500
NT-original,H3K9ac,25003,25003,0,2779,2779,0,0.0,,290,500,500,500,500,500
NT-original,H3K36me3,31392,31392,0,3488,3488,0,0.0,,310,500,500,449,500,500
NT-revised,promoter_no_tata,30000,29872,128,1372,1363,0,0.0,,300,300,300,300,300,300
NT-revised,promoter_all,30000,29872,128,1584,1571,0,0.0,,300,300,300,300,300,300
NT-revised,promoter_tata,5062,5059,3,212,212,0,0.0,,300,300,300,300,300,300
NT-revised,enhancers,30000,29803,197,3000,2943,0,0.0,,400,400,400,400,400,400
NT-revised,enhancers_types,30000,29803,197,3000,2943,0,0.0,,400,400,400,400,400,400
NT-revised,splice_sites_all,30000,29937,63,3000,2976,0,0.0,,600,600,600,600,600,600
NT-revised,splice_sites_acceptors,30000,29858,142,3000,2964,0,0.0,,600,600,600,600,600,600
NT-revised,splice_sites_donors,30000,29840,160,3000,2957,0,0.0,,600,600,600,600,600,600
NT-revised,H3K4me1,30000,29877,123,3000,2967,0,0.0,,1000,1000,1000,1000,1000,1000
NT-revised,H3K4me2,30000,29898,102,2138,2114,0,0.0,,1000,1000,1000,1000,1000,1000
NT-revised,H3K4me3,17468,17423,45,776,773,0,0.0,,1000,1000,1000,1000,1000,1000
NT-revised,H3K9ac,23274,23203,71,1004,1000,0,0.0,,1000,1000,1000,1000,1000,1000
NT-revised,H3K36me3,30000,29885,115,3000,2960,0,0.0,,1000,1000,1000,1000,1000,1000
