suite,task,model,predicted_verdict,pooled_resplit,n,n_train,n_test,test_frac,phi,n_high_bin,n_novel_bin,novel_acc,leaked_acc,graded_gap,acc_orig,acc_corr,drop,drop_ci_cluster,drop_excl0,rank_orig,rank_corr,p_rank1_orig,p_rank1_corr,order_orig,order_corr,best_orig,best_corr,ranking_inverts,top_margin_orig,residual_leak_after_split
NT-original,splice_sites_acceptors,LR,LEAKY,False,22179,19961,2218,0.1,0.0766,170,1310,0.7244,0.8353,0.1109,0.7511,0.7243,0.0268,"[0.0004, 0.0545]",True,3,3,0.004,0.0025,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,splice_sites_acceptors,LinearSVC,LEAKY,False,22179,19961,2218,0.1,0.0766,170,1310,0.7137,0.8412,0.1274,0.7498,0.7239,0.0259,"[-0.0018, 0.0535]",False,4,4,0.0035,0.0045,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,splice_sites_acceptors,RF,LEAKY,False,22179,19961,2218,0.1,0.0766,170,1310,0.7282,0.8882,0.16,0.771,0.7509,0.0201,"[-0.0068, 0.0446]",False,1,1,0.6365,0.954,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,splice_sites_acceptors,HGB,LEAKY,False,22179,19961,2218,0.1,0.0766,170,1310,0.7405,0.8529,0.1125,0.7678,0.7347,0.0331,"[0.0064, 0.0597]",True,2,2,0.356,0.039,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,splice_sites_donors,LR,LEAKY,False,21973,19775,2198,0.1,0.0814,179,1337,0.7158,0.7933,0.0775,0.7261,0.7453,-0.0192,"[-0.0474, 0.0070]",False,3,3,0.0,0.0055,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,splice_sites_donors,LinearSVC,LEAKY,False,21973,19775,2198,0.1,0.0814,179,1337,0.7061,0.7821,0.0761,0.7134,0.7385,-0.0251,"[-0.0526, -0.0004]",True,4,4,0.0,0.001,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,splice_sites_donors,RF,LEAKY,False,21973,19775,2198,0.1,0.0814,179,1337,0.7382,0.7989,0.0607,0.7639,0.7726,-0.0087,"[-0.0338, 0.0164]",False,1,1,0.7915,0.9405,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,splice_sites_donors,HGB,LEAKY,False,21973,19775,2198,0.1,0.0814,179,1337,0.7315,0.8268,0.0953,0.7571,0.7567,0.0003,"[-0.0249, 0.0269]",False,2,2,0.2085,0.053,RF>HGB>LR>LinearSVC,RF>HGB>LR>LinearSVC,RF,RF,False,0.0,0.0
NT-original,enhancers,LR,LEAKY,True,15368,12294,3074,0.2,0.0992,305,2769,0.9328,0.7639,-0.1689,0.9161,0.9115,0.0046,"[-0.0104, 0.0199]",False,1,1,0.8105,1.0,LR>LinearSVC>RF>HGB,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
NT-original,enhancers,LinearSVC,LEAKY,True,15368,12294,3074,0.2,0.0992,305,2769,0.9195,0.8328,-0.0867,0.9109,0.8887,0.0221,"[0.0055, 0.0381]",True,2,2,0.0805,0.0,LR>LinearSVC>RF>HGB,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
NT-original,enhancers,RF,LEAKY,True,15368,12294,3074,0.2,0.0992,305,2769,0.9,1.0,0.1,0.9099,0.8686,0.0413,"[0.0241, 0.0583]",True,3,4,0.1065,0.0,LR>LinearSVC>RF>HGB,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
NT-original,enhancers,HGB,LEAKY,True,15368,12294,3074,0.2,0.0992,305,2769,0.9133,0.8295,-0.0838,0.905,0.8865,0.0185,"[0.0021, 0.0366]",True,4,3,0.0025,0.0,LR>LinearSVC>RF>HGB,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
NT-original,promoter_no_tata,LR,CLEAN (control),False,53066,47767,5299,0.0999,0.007,37,5215,0.9246,0.8919,-0.0327,0.9247,0.9257,-0.001,"[-0.0112, 0.0093]",False,1,1,0.825,0.5435,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
NT-original,promoter_no_tata,LinearSVC,CLEAN (control),False,53066,47767,5299,0.0999,0.007,37,5215,0.922,0.9189,-0.003,0.9224,0.9255,-0.003,"[-0.0129, 0.0077]",False,2,2,0.175,0.4565,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
NT-original,promoter_no_tata,RF,CLEAN (control),False,53066,47767,5299,0.0999,0.007,37,5215,0.8934,1.0,0.1066,0.8951,0.8934,0.0017,"[-0.0100, 0.0127]",False,4,4,0.0,0.0,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
NT-original,promoter_no_tata,HGB,CLEAN (control),False,53066,47767,5299,0.0999,0.007,37,5215,0.9055,0.9189,0.0135,0.9058,0.9057,0.0002,"[-0.0100, 0.0106]",False,3,3,0.0,0.0,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,LR,LR,False,0.0,0.0
