suite,task,leader_A,challenger_B,phi,n_A,n_B,delta,g_A,g_B,Dg,phi_star,m_inv,PREDICTED_inversion,OBSERVED_inversion,agree
NT-original,splice_sites_acceptors,LR,LinearSVC,0.0766,0.7244,0.7137,-0.0107,0.1109,0.1274,-0.0166,,0.0094,False,False,True
NT-original,splice_sites_acceptors,RF,LR,0.0766,0.7282,0.7244,-0.0038,0.16,0.1109,0.0491,-0.0777,0.0076,False,False,True
NT-original,splice_sites_acceptors,RF,LinearSVC,0.0766,0.7282,0.7137,-0.0145,0.16,0.1274,0.0326,-0.4455,0.017,False,False,True
NT-original,splice_sites_acceptors,RF,HGB,0.0766,0.7282,0.7405,0.0122,0.16,0.1125,0.0475,0.2571,-0.0086,False,False,True
NT-original,splice_sites_acceptors,HGB,LR,0.0766,0.7405,0.7244,-0.016,0.1125,0.1109,0.0016,-9.9167,0.0162,False,False,True
NT-original,splice_sites_acceptors,HGB,LinearSVC,0.0766,0.7405,0.7137,-0.0267,0.1125,0.1274,-0.015,,0.0256,False,False,True
NT-original,splice_sites_donors,LR,LinearSVC,0.0814,0.7158,0.7061,-0.0097,0.0775,0.0761,0.0014,-6.7061,0.0098,False,False,True
NT-original,splice_sites_donors,RF,LR,0.0814,0.7382,0.7158,-0.0224,0.0607,0.0775,-0.0169,,0.0211,False,False,True
NT-original,splice_sites_donors,RF,LinearSVC,0.0814,0.7382,0.7061,-0.0322,0.0607,0.0761,-0.0154,,0.0309,False,False,True
NT-original,splice_sites_donors,RF,HGB,0.0814,0.7382,0.7315,-0.0067,0.0607,0.0953,-0.0347,,0.0039,False,False,True
NT-original,splice_sites_donors,HGB,LR,0.0814,0.7315,0.7158,-0.0157,0.0953,0.0775,0.0178,-0.8818,0.0172,False,False,True
NT-original,splice_sites_donors,HGB,LinearSVC,0.0814,0.7315,0.7061,-0.0254,0.0953,0.0761,0.0193,-1.3202,0.027,False,False,True
NT-original,enhancers,LR,LinearSVC,0.0992,0.9328,0.9195,-0.0134,-0.1689,-0.0867,-0.0822,,0.0052,False,False,True
NT-original,enhancers,LR,RF,0.0992,0.9328,0.9,-0.0329,-0.1689,0.1,-0.2689,,0.0062,False,False,True
NT-original,enhancers,LR,HGB,0.0992,0.9328,0.9133,-0.0195,-0.1689,-0.0838,-0.0851,,0.0111,False,False,True
NT-original,enhancers,LinearSVC,RF,0.0992,0.9195,0.9,-0.0195,-0.0867,0.1,-0.1867,,0.001,False,False,True
NT-original,enhancers,LinearSVC,HGB,0.0992,0.9195,0.9133,-0.0061,-0.0867,-0.0838,-0.0029,,0.0059,False,False,True
NT-original,enhancers,RF,HGB,0.0992,0.9,0.9133,0.0134,0.1,-0.0838,0.1839,0.0727,0.0049,True,False,False
NT-original,promoter_no_tata,LR,LinearSVC,0.007,0.9246,0.922,-0.0027,-0.0327,-0.003,-0.0297,,0.0025,False,False,True
NT-original,promoter_no_tata,LR,RF,0.007,0.9246,0.8934,-0.0313,-0.0327,0.1066,-0.1394,,0.0303,False,False,True
NT-original,promoter_no_tata,LR,HGB,0.007,0.9246,0.9055,-0.0192,-0.0327,0.0135,-0.0462,,0.0189,False,False,True
NT-original,promoter_no_tata,LinearSVC,RF,0.007,0.922,0.8934,-0.0286,-0.003,0.1066,-0.1097,,0.0278,False,False,True
NT-original,promoter_no_tata,LinearSVC,HGB,0.007,0.922,0.9055,-0.0165,-0.003,0.0135,-0.0165,,0.0164,False,False,True
NT-original,promoter_no_tata,HGB,RF,0.007,0.9055,0.8934,-0.0121,0.0135,0.1066,-0.0932,,0.0114,False,False,True
