dataset,band,test_idx,train_idx,jaccard8,flagged,test_label,train_label,sw_score,sw_identity,sw_coverage,sw_aln_len,len_test,len_train,homolog,homolog_strict,homolog_loose
human_nontata_promoters,j_lt_0p1,27408,26737,0.0,0,0,1,137.0,0.3931297709923664,0.4103585657370518,262,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27321,22550,0.0041322312317788,0,0,1,220.0,0.4186046511627907,0.50199203187251,301,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27463,9621,0.0083507308736443,0,0,0,146.5,0.4350282485875706,0.3067729083665338,177,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27263,11847,0.0020964359864592,0,0,0,217.5,0.4349315068493151,0.5059760956175299,292,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27449,4965,0.0,0,0,0,202.0,0.436241610738255,0.5179282868525896,298,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27115,7674,0.002087682718411,0,0,0,238.0,0.470383275261324,0.5378486055776892,287,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27218,16180,0.0105932205915451,0,0,1,144.0,0.3811475409836065,0.3705179282868526,244,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27216,6612,0.0147368423640728,0,0,0,213.0,0.4505494505494505,0.4900398406374502,273,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27464,7010,0.0105708241462707,0,0,0,258.0,0.48,0.5737051792828686,300,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27493,23132,0.0021052630618214,0,0,1,170.5,0.450199203187251,0.450199203187251,251,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27264,2991,0.0,0,0,0,95.5,0.3741721854304636,0.450199203187251,302,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27474,728,0.0021052630618214,0,0,0,95.5,0.3596837944664031,0.3625498007968127,253,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27323,17076,0.0,0,0,1,229.5,0.4705882352941176,0.5418326693227091,289,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27423,8685,0.0145833333954215,0,0,0,227.5,0.4578754578754578,0.49800796812749,273,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27175,2592,0.0,0,0,0,176.0,0.4029850746268656,0.4302788844621514,268,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27363,19427,0.0020618557464331,0,0,1,139.5,0.3815261044176707,0.3784860557768924,249,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27471,18618,0.0,0,0,1,162.5,0.3916083916083916,0.446215139442231,286,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27152,23391,0.0,0,0,1,191.0,0.4703557312252964,0.4741035856573705,253,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27401,13957,0.0041152262128889,0,0,1,238.0,0.4744027303754266,0.5537848605577689,293,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27397,9602,0.0,0,0,0,189.5,0.4368231046931408,0.4820717131474104,277,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27153,8311,0.0041407868266105,0,0,0,205.5,0.4981684981684982,0.5418326693227091,273,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27359,15501,0.0062111802399158,0,0,1,170.0,0.396551724137931,0.4581673306772908,290,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27220,16175,0.0064935064874589,0,0,1,216.0,0.5176470588235295,0.5258964143426295,255,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27288,19264,0.0,0,0,1,186.5,0.4456140350877193,0.5059760956175299,285,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27495,20882,0.0042826551944017,0,0,1,149.0,0.4203389830508474,0.4940239043824701,295,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27322,23303,0.0045351474545896,0,0,1,247.5,0.5234657039711191,0.5776892430278885,277,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27352,21233,0.0020576131064444,0,0,1,255.0,0.4807017543859649,0.545816733067729,285,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27137,15863,0.00207468890585,0,0,1,205.0,0.4517241379310345,0.5219123505976095,290,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27466,7254,0.0,0,0,0,161.0,0.4006410256410256,0.49800796812749,312,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27216,20523,0.0148936174809932,0,0,1,253.0,0.4753521126760563,0.5378486055776892,284,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27470,6122,0.0,0,0,0,173.0,0.4140625,0.4223107569721115,256,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27154,2360,0.0021413275972008,0,0,0,199.0,0.4305084745762711,0.5059760956175299,295,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27476,1105,0.0,0,0,0,182.5,0.4448275862068965,0.5139442231075697,290,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27149,26676,0.0,0,0,1,167.5,0.4746543778801843,0.4103585657370518,217,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27210,1048,0.0,0,0,0,179.5,0.3817567567567567,0.450199203187251,296,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27447,25026,0.0087527353316545,0,0,1,231.0,0.4174454828660436,0.5338645418326693,321,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27208,22030,0.0150214591994881,0,0,1,286.0,0.475177304964539,0.5338645418326693,282,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27240,20693,0.0126849897205829,0,0,1,175.5,0.3856209150326797,0.4701195219123506,306,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27229,5645,0.0,0,0,0,102.0,0.4032258064516129,0.398406374501992,248,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27469,25881,0.0062761506997048,0,0,1,218.0,0.4100946372239747,0.5179282868525896,317,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27286,26512,0.0020703934133052,0,0,1,175.0,0.4270833333333333,0.4900398406374502,288,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27131,22808,0.0021052630618214,0,0,1,212.5,0.4661354581673306,0.4661354581673306,251,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27164,1137,0.0105485236272215,0,0,0,202.0,0.4265232974910394,0.4741035856573705,279,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27146,937,0.0062240664847195,0,0,0,209.5,0.4243421052631579,0.5139442231075697,304,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27302,23839,0.0,0,0,1,208.5,0.4677966101694915,0.549800796812749,295,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27396,14838,0.0229885056614875,0,0,1,317.0,0.4563758389261745,0.5418326693227091,298,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27211,22281,0.0063424948602914,0,0,1,165.5,0.3723076923076923,0.4820717131474104,325,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27340,25969,0.0086021507158875,0,0,1,270.0,0.4832214765100671,0.5737051792828686,298,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27283,15116,0.0041753654368221,0,0,1,249.0,0.4666666666666667,0.5298804780876494,285,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27410,22630,0.0,0,0,1,182.5,0.4125412541254125,0.49800796812749,303,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27455,19291,0.0,0,0,1,143.5,0.3934426229508196,0.4780876494023904,305,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27136,11548,0.0085106380283832,0,0,0,213.0,0.4740484429065744,0.545816733067729,289,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27177,24404,0.0126315793022513,0,0,1,308.5,0.4782608695652174,0.5697211155378487,299,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27105,17639,0.0062111802399158,0,0,1,246.0,0.4689655172413793,0.5418326693227091,290,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27425,5873,0.0020833334419876,0,0,0,114.0,0.3795620437956204,0.4143426294820717,274,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27300,15541,0.0,0,0,1,189.5,0.3972602739726027,0.4621513944223107,292,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27370,1580,0.0061855670064687,0,0,0,162.0,0.4193548387096774,0.4661354581673306,279,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27415,20518,0.0063291140832006,0,0,1,187.5,0.3979933110367893,0.4741035856573705,299,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27457,21264,0.0064239827916026,0,0,1,234.0,0.4299363057324841,0.5378486055776892,314,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27456,24247,0.0020790020935237,0,0,1,214.0,0.4299674267100977,0.5258964143426295,307,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27400,1294,0.0,0,0,0,216.0,0.4178082191780822,0.4860557768924303,292,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27351,6624,0.0020533881615847,0,0,0,143.5,0.363036303630363,0.4382470119521912,303,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27349,22014,0.0,0,0,1,201.5,0.4338983050847457,0.5099601593625498,295,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27372,18058,0.0062111802399158,0,0,1,199.0,0.4265232974910394,0.4741035856573705,279,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27362,25832,0.0,0,0,1,183.5,0.4295532646048109,0.49800796812749,291,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27316,6784,0.0,0,0,0,142.0,0.4194756554307116,0.446215139442231,267,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27429,14997,0.0,0,0,1,219.0,0.4322344322344322,0.4701195219123506,273,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27168,16295,0.0,0,0,1,175.5,0.4244897959183673,0.4143426294820717,245,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27292,20504,0.0021231423597782,0,0,1,209.5,0.4545454545454545,0.5378486055776892,297,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27305,3569,0.0062630479224026,0,0,0,127.5,0.4347826086956521,0.398406374501992,230,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27193,318,0.0,0,0,0,156.5,0.3636363636363636,0.4780876494023904,330,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27146,12355,0.0,0,0,1,238.0,0.4366197183098591,0.4940239043824701,284,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27234,21734,0.0,0,0,1,96.0,0.3463035019455253,0.3545816733067729,257,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27175,1131,0.0131004368886351,0,0,0,213.0,0.4898648648648648,0.5776892430278885,296,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27204,20864,0.0020533881615847,0,0,1,237.0,0.4256055363321799,0.4900398406374502,289,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27484,19021,0.0171306207776069,0,0,1,247.0,0.4794007490636704,0.5099601593625498,267,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27407,6823,0.0,0,0,0,159.5,0.423728813559322,0.49800796812749,295,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27272,26668,0.0020661156158894,0,0,1,221.5,0.4674329501915709,0.4860557768924303,261,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27363,20948,0.0041237114928662,0,0,1,198.5,0.3974763406940063,0.50199203187251,317,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27453,8236,0.0,0,0,0,106.0,0.3393393393393393,0.450199203187251,333,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27487,17866,0.0,0,0,1,196.5,0.4471830985915493,0.5059760956175299,284,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27486,26944,0.0,0,0,1,205.0,0.4593639575971731,0.5179282868525896,283,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27120,9111,0.002087682718411,0,0,0,215.5,0.4664429530201342,0.5537848605577689,298,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27412,22384,0.0,0,0,1,134.5,0.3703703703703703,0.4382470119521912,297,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27436,21834,0.0,0,0,1,224.0,0.4057507987220447,0.5059760956175299,313,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27405,13717,0.0021691974252462,0,0,1,223.0,0.48,0.5258964143426295,275,251,251,0,0,0
