dose_target_share,split_seed,model_seed,n,phi,leak_jaccard_0p7,acc_orig_LR,acc_orig_LinearSVC,acc_orig_RF,acc_orig_HGB,acc_corr_LR,acc_corr_LinearSVC,acc_corr_RF,acc_corr_HGB,top2_margin_orig,rf_drop,order_orig,order_corr,leader_orig,leader_corr,rf_rank_orig,rf_rank_corr,ranking_inverts,deterministic_models,deterministic_verified,dataset
0.25,0,0,20000,0.0875,0.0895,0.6975,0.688,0.6935,0.683,0.6686,0.6556,0.6363,0.6631,0.004,0.0572,LR>RF>LinearSVC>HGB,LR>HGB>LinearSVC>RF,LR,LR,2,4,False,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,0,1,20000,0.0875,0.0895,0.6975,0.688,0.6903,0.6957,0.6686,0.6556,0.6463,0.6641,0.0018,0.0439,LR>HGB>RF>LinearSVC,LR>HGB>LinearSVC>RF,LR,LR,3,4,False,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,0,2,20000,0.0875,0.0895,0.6975,0.688,0.6817,0.6927,0.6686,0.6556,0.6338,0.6661,0.0048,0.0479,LR>HGB>LinearSVC>RF,LR>HGB>LinearSVC>RF,LR,LR,4,4,False,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,1,0,20000,0.0853,0.0872,0.6947,0.6885,0.6927,0.6987,0.6643,0.6588,0.6278,0.6618,0.004,0.0649,HGB>LR>RF>LinearSVC,LR>HGB>LinearSVC>RF,HGB,LR,3,4,True,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,1,1,20000,0.0853,0.0872,0.6947,0.6885,0.6847,0.7015,0.6643,0.6588,0.6243,0.6541,0.0068,0.0604,HGB>LR>LinearSVC>RF,LR>LinearSVC>HGB>RF,HGB,LR,4,4,True,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,1,2,20000,0.0853,0.0872,0.6947,0.6885,0.6885,0.697,0.6643,0.6588,0.6393,0.6596,0.0022,0.0492,HGB>LR>LinearSVC>RF,LR>HGB>LinearSVC>RF,HGB,LR,3,4,True,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,2,0,20000,0.0905,0.0922,0.695,0.6897,0.6857,0.6925,0.6773,0.6676,0.6428,0.6751,0.0025,0.0429,LR>HGB>LinearSVC>RF,LR>HGB>LinearSVC>RF,LR,LR,4,4,False,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,2,1,20000,0.0905,0.0922,0.695,0.6897,0.6795,0.6983,0.6773,0.6676,0.6473,0.6686,0.0033,0.0322,HGB>LR>LinearSVC>RF,LR>HGB>LinearSVC>RF,HGB,LR,4,4,True,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,2,2,20000,0.0905,0.0922,0.695,0.6897,0.6853,0.691,0.6773,0.6676,0.6491,0.6683,0.004,0.0362,LR>HGB>LinearSVC>RF,LR>HGB>LinearSVC>RF,LR,LR,4,4,False,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,3,0,20000,0.0818,0.083,0.6823,0.6795,0.679,0.69,0.6713,0.6538,0.6391,0.6703,0.0077,0.0399,HGB>LR>LinearSVC>RF,LR>HGB>LinearSVC>RF,HGB,LR,4,4,True,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,3,1,20000,0.0818,0.083,0.6823,0.6795,0.6807,0.6883,0.6713,0.6538,0.6501,0.6608,0.006,0.0307,HGB>LR>RF>LinearSVC,LR>HGB>LinearSVC>RF,HGB,LR,3,4,True,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
0.25,3,2,20000,0.0818,0.083,0.6823,0.6795,0.6843,0.6945,0.6713,0.6538,0.6513,0.6713,0.0102,0.0329,HGB>RF>LR>LinearSVC,LR>HGB>LinearSVC>RF,HGB,LR,2,4,True,LR;LinearSVC,LR:same;LinearSVC:same,human_ocr_ensembl
