condition,n,n_train,n_test,positive_frac,majority_baseline,leak_jaccard_0p7,leak_jaccard_0p9,exact_dup_test_in_train,acc_orig_LR,acc_orig_LinearSVC,acc_orig_RF,acc_orig_HGB,acc_corr_LR,acc_corr_LinearSVC,acc_corr_RF,acc_corr_HGB,rf_drop,rf_drop_ci,rf_drop_excl0,lr_drop,lr_drop_ci,lr_drop_excl0,order_orig,order_corr,rf_rank_orig,rf_rank_corr,ranking_inverts,seconds,dataset,dose_target_share,phi_star_leader,phi_star_challenger,phi_star_delta,phi_star_Dg,phi_star,mid_band_frac,phi_used,predicted_invert,prediction_correct
dose_0.0000,20000,16000,4000,0.5,0.5,0.004,0.0005,0.0,0.6767,0.668,0.6448,0.6577,0.6711,0.6688,0.6426,0.6561,0.0022,"[-0.0191, 0.0247]",False,0.0057,"[-0.0152, 0.0256]",False,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,4,4,False,156.5,human_ocr_ensembl,0.0,LR,,,,,0.0152,0.0005,False,True
dose_0.2000,20000,16000,4000,0.5,0.5,0.0772,0.074,0.074,0.6833,0.6773,0.668,0.6775,0.6733,0.6666,0.6403,0.6718,0.0277,"[0.0065, 0.0497]",True,0.0099,"[-0.0108, 0.0319]",False,LR>HGB>LinearSVC>RF,LR>HGB>LinearSVC>RF,4,4,False,123.9,human_ocr_ensembl,0.2,LR,,,,,0.0143,0.074,False,True
dose_0.2500,20000,16000,4000,0.5,0.5,0.0955,0.0932,0.093,0.6835,0.6735,0.677,0.6825,0.6686,0.6556,0.6363,0.6631,0.0407,"[0.0195, 0.0619]",True,0.0149,"[-0.0066, 0.0381]",False,LR>HGB>RF>LinearSVC,LR>HGB>LinearSVC>RF,3,4,False,80.3,human_ocr_ensembl,0.25,LR,,,,,0.0135,0.0932,False,True
dose_0.3000,20000,16000,4000,0.5,0.5,0.1087,0.1055,0.105,0.6817,0.679,0.691,0.6827,0.6768,0.6671,0.6321,0.6596,0.0589,"[0.0373, 0.0788]",True,0.0049,"[-0.0162, 0.0267]",False,RF>HGB>LR>LinearSVC,LR>LinearSVC>HGB>RF,1,4,True,85.1,human_ocr_ensembl,0.3,RF,LinearSVC,0.0153,0.2547,0.0602,0.0132,0.1055,True,True
dose_0.3500,20000,16000,4000,0.5,0.5,0.1187,0.116,0.116,0.6885,0.685,0.6973,0.6837,0.6816,0.6703,0.6311,0.6576,0.0662,"[0.0448, 0.0894]",True,0.0069,"[-0.0147, 0.0290]",False,RF>LR>LinearSVC>HGB,LR>LinearSVC>HGB>RF,1,4,True,86.7,human_ocr_ensembl,0.35,RF,HGB,0.0118,0.2122,0.0554,0.0123,0.116,True,True
dose_0.4000,20000,16000,4000,0.5,0.5,0.1328,0.1305,0.1305,0.6785,0.6737,0.6985,0.6855,0.6648,0.6533,0.6373,0.6516,0.0612,"[0.0399, 0.0821]",True,0.0137,"[-0.0078, 0.0347]",False,RF>HGB>LR>LinearSVC,LR>LinearSVC>HGB>RF,1,4,True,105.7,human_ocr_ensembl,0.4,RF,LinearSVC,0.0099,0.2647,0.0375,0.0127,0.1305,True,True
dose_0.4500,20000,16000,4000,0.5,0.5,0.1477,0.1447,0.1447,0.6873,0.683,0.7003,0.6915,0.6769,0.6682,0.6397,0.6667,0.0606,"[0.0383, 0.0817]",True,0.0103,"[-0.0106, 0.0317]",False,RF>HGB>LR>LinearSVC,LR>LinearSVC>HGB>RF,1,4,True,86.3,human_ocr_ensembl,0.45,RF,LinearSVC,0.0202,0.2516,0.0803,0.0138,0.1447,True,True
dose_0.6000,20000,16000,4000,0.5,0.5,0.1658,0.1638,0.1635,0.6877,0.6845,0.7173,0.699,0.6766,0.6706,0.6306,0.6708,0.0867,"[0.0636, 0.1087]",True,0.0112,"[-0.0090, 0.0332]",False,RF>HGB>LR>LinearSVC,LR>HGB>LinearSVC>RF,1,4,True,85.8,human_ocr_ensembl,0.6,RF,LinearSVC,0.0024,0.2085,0.0116,0.0127,0.1638,True,True
dose_0.7500,20000,16000,4000,0.5,0.5,0.1825,0.1792,0.179,0.6893,0.682,0.7165,0.6967,0.6833,0.6698,0.6273,0.6693,0.0892,"[0.0667, 0.1110]",True,0.0059,"[-0.0173, 0.0274]",False,RF>HGB>LR>LinearSVC,LR>LinearSVC>HGB>RF,1,4,True,90.1,human_ocr_ensembl,0.75,RF,LinearSVC,0.017,0.2778,0.0612,0.0123,0.1792,True,True
dose_0.9426,20000,16000,4000,0.5,0.5,0.204,0.2013,0.201,0.6837,0.68,0.733,0.7057,0.6871,0.6706,0.6276,0.6658,0.1054,"[0.0834, 0.1263]",True,-0.0033,"[-0.0242, 0.0177]",False,RF>HGB>LR>LinearSVC,LR>LinearSVC>HGB>RF,1,4,True,85.0,human_ocr_ensembl,0.9426,RF,LR,0.0057,0.2703,0.0212,0.0125,0.2013,True,True
