dataset,dropout,weight_decay,variant,is_reference,is_manip_check,acc_orig,acc_corr,drop,drop_ci_sample_lo,drop_ci_sample_hi,drop_excl0_sample,drop_ci_cluster_lo,drop_ci_cluster_hi,drop_excl0_cluster,graded_gap,acc_hi_sim,novel_acc,n_hi,n_lo,epochs_orig,epochs_corr
human_nontata_promoters,0.0,0.0,grid,False,False,0.8595,0.7984,0.0612,0.0503,0.0718,True,0.0449,0.0789,True,0.1317,0.9372,0.8055,2037,4971,11,6
human_nontata_promoters,0.0,0.0001,grid,False,False,0.848,0.7783,0.0697,0.0589,0.0808,True,0.0529,0.0876,True,0.0849,0.9018,0.8169,2037,4971,9,6
human_nontata_promoters,0.0,0.001,grid,False,False,0.8611,0.8189,0.0421,0.0322,0.0529,True,0.0288,0.0568,True,0.104,0.9264,0.8224,2037,4971,11,8
human_nontata_promoters,0.3,0.0,grid,False,False,0.8165,0.795,0.0214,0.0105,0.0322,True,0.0044,0.04,True,0.2391,0.9504,0.7113,2037,4971,6,6
human_nontata_promoters,0.3,0.0001,grid,True,False,0.8202,0.7777,0.0426,0.0316,0.0535,True,0.0245,0.0614,True,0.2088,0.9362,0.7274,2037,4971,6,6
human_nontata_promoters,0.3,0.001,grid,False,False,0.8536,0.7657,0.0878,0.077,0.0996,True,0.0691,0.1068,True,0.0186,0.8689,0.8503,2037,4971,11,14
human_nontata_promoters,0.6,0.0,grid,False,False,0.8627,0.823,0.0397,0.0297,0.0502,True,0.026,0.0547,True,0.1055,0.9269,0.8214,2037,4971,14,8
human_nontata_promoters,0.6,0.0001,grid,False,False,0.8037,0.8238,-0.0201,-0.0306,-0.0091,True,-0.0349,-0.0044,True,0.2844,0.9627,0.6783,2037,4971,6,8
human_nontata_promoters,0.6,0.001,grid,False,False,0.8352,0.8056,0.0296,0.019,0.04,True,0.0132,0.0469,True,0.2653,0.9853,0.72,2037,4971,11,8
human_nontata_promoters,0.0,0.0,manip_check,False,True,0.9021,0.8011,0.101,0.0908,0.1113,True,0.0854,0.1165,True,0.0748,0.9509,0.8761,2037,4971,30,30
human_enhancers_ensembl,0.0,0.0,grid,False,False,0.82,0.7991,0.0209,0.0144,0.0269,True,0.0131,0.0281,True,0.11,0.8865,0.7766,11774,18770,9,9
human_enhancers_ensembl,0.0,0.0001,grid,False,False,0.8352,0.7996,0.0356,0.0298,0.0417,True,0.0288,0.0426,True,0.0311,0.8531,0.8219,11774,18770,13,14
human_enhancers_ensembl,0.0,0.001,grid,False,False,0.8074,0.7494,0.058,0.0515,0.0648,True,0.0505,0.065,True,-0.0354,0.7844,0.8198,11774,18770,8,6
human_enhancers_ensembl,0.3,0.0,grid,False,False,0.8251,0.8071,0.018,0.0123,0.0241,True,0.0102,0.0247,True,-0.0316,0.8042,0.8358,11774,18770,9,9
human_enhancers_ensembl,0.3,0.0001,grid,True,False,0.8272,0.8131,0.0141,0.0076,0.0202,True,0.0067,0.0211,True,0.0282,0.8431,0.815,11774,18770,9,9
human_enhancers_ensembl,0.3,0.001,grid,False,False,0.8319,0.7676,0.0643,0.0583,0.0707,True,0.0561,0.0718,True,0.0871,0.8843,0.7972,11774,18770,19,6
human_enhancers_ensembl,0.6,0.0,grid,False,False,0.8219,0.7929,0.0289,0.023,0.0349,True,0.0212,0.0364,True,-0.0674,0.7787,0.846,11774,18770,13,19
human_enhancers_ensembl,0.6,0.0001,grid,False,False,0.8218,0.7591,0.0628,0.0563,0.0691,True,0.0548,0.07,True,-0.0891,0.7653,0.8544,11774,18770,13,6
human_enhancers_ensembl,0.6,0.001,grid,False,False,0.8213,0.8054,0.0159,0.0095,0.0221,True,0.009,0.0228,True,0.0019,0.821,0.8191,11774,18770,9,13
human_enhancers_ensembl,0.0,0.0,manip_check,False,True,0.8383,0.762,0.0763,0.0699,0.0826,True,0.0684,0.0841,True,0.2217,0.9738,0.7521,11774,18770,30,30
