dataset,target_pi,split,n_test,pos_frac,acc,bal_acc,mcc,auroc,auprc,auprc_baseline,minor_prec,minor_rec,minor_f1
human_nontata_promoters,0.5,original,8238,0.5,0.9194,0.9194,0.8459,0.9928,0.9923,0.5,0.9816,0.8548,0.9138
human_nontata_promoters,0.5,corrected,8245,0.4996,0.8251,0.8251,0.6536,0.925,0.9338,0.4996,0.795,0.8757,0.8334
human_nontata_promoters,0.2,original,5149,0.2,0.9336,0.8358,0.7848,0.9835,0.9485,0.2,0.9928,0.6728,0.8021
human_nontata_promoters,0.2,corrected,5156,0.1998,0.9034,0.8173,0.6818,0.904,0.8127,0.1998,0.8107,0.6738,0.7359
human_nontata_promoters,0.1,original,4577,0.1001,0.9594,0.7979,0.7537,0.974,0.8918,0.1001,0.9964,0.5961,0.7459
human_nontata_promoters,0.1,corrected,4584,0.0999,0.9459,0.7894,0.6679,0.9058,0.7472,0.0999,0.8144,0.5939,0.6869
human_enhancers_ensembl,0.5,original,30970,0.5,0.8556,0.8556,0.7131,0.9428,0.9541,0.5,0.8319,0.8914,0.8606
human_enhancers_ensembl,0.5,corrected,30971,0.5001,0.6999,0.6999,0.4197,0.8047,0.7918,0.5001,0.7873,0.5481,0.6462
human_enhancers_ensembl,0.2,original,19356,0.2,0.8442,0.6243,0.4224,0.8168,0.6223,0.2,0.8754,0.2578,0.3983
human_enhancers_ensembl,0.2,corrected,19371,0.2007,0.8078,0.5316,0.1816,0.7788,0.4774,0.2007,0.7128,0.0702,0.1279
human_enhancers_ensembl,0.1,original,17206,0.1,0.9092,0.5503,0.2882,0.7728,0.3616,0.1,0.9162,0.1017,0.1831
human_enhancers_ensembl,0.1,corrected,17207,0.1001,0.902,0.5127,0.1355,0.7521,0.2826,0.1001,0.8182,0.0261,0.0506
