dataset,inject_frac,model,seed,n_injected,acc_orig,acc_corr,drop,epochs_orig,epochs_corr
human_ensembl_regulatory,0.0,CNN,0,0,0.7446,0.7729,-0.0284,14,18
human_ensembl_regulatory,0.0,CNN,1,0,0.6712,0.7371,-0.0659,9,16
human_ensembl_regulatory,0.0,CNN,2,0,0.7456,0.7672,-0.0216,14,17
human_ensembl_regulatory,0.1,CNN,0,1601,0.7508,0.7531,-0.0023,14,15
human_ensembl_regulatory,0.1,CNN,1,1601,0.6852,0.7376,-0.0524,9,17
human_ensembl_regulatory,0.1,CNN,2,1601,0.7508,0.7508,-0.0,14,18
human_ensembl_regulatory,0.2,CNN,0,3201,0.7626,0.7786,-0.016,14,23
human_ensembl_regulatory,0.2,CNN,1,3201,0.6911,0.7521,-0.0609,9,13
human_ensembl_regulatory,0.2,CNN,2,3201,0.7587,0.7564,0.0023,14,12
human_ensembl_regulatory,0.4,CNN,0,6403,0.763,0.7565,0.0064,14,18
human_ensembl_regulatory,0.4,CNN,1,6403,0.6948,0.745,-0.0502,9,21
human_ensembl_regulatory,0.4,CNN,2,6403,0.7586,0.7414,0.0172,14,12
