dataset,axis,value,acc_orig,acc_corr,drop,graded_gap,acc_hi,novel_acc,rf_rank_orig,rf_rank_corr
human_nontata_promoters,min_samples_leaf,1,0.9284,0.82,0.1083,0.1207,1.0,0.8793,1,3
human_nontata_promoters,min_samples_leaf,5,0.8884,0.8054,0.083,0.1188,0.9671,0.8483,2,4
human_nontata_promoters,min_samples_leaf,20,0.8282,0.8025,0.0257,0.0911,0.8837,0.7926,4,4
human_nontata_promoters,min_samples_leaf,50,0.8034,0.7958,0.0076,0.0682,0.8429,0.7747,4,4
human_nontata_promoters,min_samples_leaf,100,0.7948,0.7911,0.0037,0.0612,0.8297,0.7685,4,4
human_nontata_promoters,min_samples_leaf,200,0.7888,0.7903,-0.0015,0.0585,0.8223,0.7638,4,4
human_nontata_promoters,min_samples_leaf,500,0.7843,0.7845,-0.0003,0.0611,0.8189,0.7578,4,4
human_nontata_promoters,max_depth,None,0.9284,0.82,0.1083,0.1207,1.0,0.8793,1,3
human_nontata_promoters,max_depth,16,0.858,0.8072,0.0508,0.2243,0.9921,0.7679,4,4
human_nontata_promoters,max_depth,8,0.8096,0.7997,0.0099,0.1766,0.9141,0.7375,4,4
human_nontata_promoters,max_depth,4,0.7907,0.7917,-0.001,0.1614,0.8802,0.7188,4,4
human_enhancers_ensembl,min_samples_leaf,1,0.8596,0.6957,0.1639,0.2302,1.0,0.7698,1,4
human_enhancers_ensembl,min_samples_leaf,5,0.8107,0.7196,0.0911,0.1691,0.9132,0.7441,1,4
human_enhancers_ensembl,min_samples_leaf,20,0.7513,0.7291,0.0222,0.0908,0.8048,0.714,4,4
human_enhancers_ensembl,min_samples_leaf,50,0.7309,0.7278,0.0031,0.0613,0.7662,0.7048,4,4
human_enhancers_ensembl,min_samples_leaf,100,0.7215,0.7203,0.0013,0.0471,0.7479,0.7009,4,4
human_enhancers_ensembl,min_samples_leaf,200,0.7142,0.7134,0.0008,0.0357,0.7339,0.6982,4,4
human_enhancers_ensembl,min_samples_leaf,500,0.7038,0.7045,-0.0007,0.0195,0.7137,0.6942,4,4
human_enhancers_ensembl,max_depth,None,0.8596,0.6957,0.1639,0.2302,1.0,0.7698,1,4
human_enhancers_ensembl,max_depth,16,0.7518,0.7124,0.0394,0.1247,0.8266,0.7019,4,4
human_enhancers_ensembl,max_depth,8,0.6973,0.6907,0.0066,0.0814,0.7452,0.6638,4,4
human_enhancers_ensembl,max_depth,4,0.6813,0.6772,0.0041,0.0643,0.719,0.6548,4,4
