dataset,scale,n_used,split_type,seed,k,model,accuracy,auroc,f1
human_enhancers_cohn,subsample,20000,original,-1,4,LR,0.731,0.80856752,0.7276776675440373
human_enhancers_cohn,subsample,20000,original,-1,4,LinearSVC,0.7324,0.80813632,0.7282696994313567
human_enhancers_cohn,subsample,20000,original,-1,4,RF,0.703,0.7835984,0.6970006121199755
human_enhancers_cohn,subsample,20000,original,-1,4,HGB,0.7246,0.80086192,0.7262969588550984
human_enhancers_cohn,subsample,20000,random,0,4,LR,0.7298,0.80765856,0.7243419710263211
human_enhancers_cohn,subsample,20000,random,0,4,LinearSVC,0.7308,0.8081526400000001,0.7255301794453507
human_enhancers_cohn,subsample,20000,random,0,4,RF,0.7,0.7796523200000001,0.6933769419460344
human_enhancers_cohn,subsample,20000,random,0,4,HGB,0.7188,0.79929472,0.716988727858293
human_enhancers_cohn,subsample,20000,random,1,4,LR,0.7304,0.8100972799999999,0.7276767676767677
human_enhancers_cohn,subsample,20000,random,1,4,LinearSVC,0.735,0.81086448,0.731618391735872
human_enhancers_cohn,subsample,20000,random,1,4,RF,0.7108,0.78918808,0.7068126520681265
human_enhancers_cohn,subsample,20000,random,1,4,HGB,0.7156,0.79967904,0.7129592248687929
human_enhancers_cohn,subsample,20000,random,2,4,LR,0.7298,0.80842704,0.7232124564638394
human_enhancers_cohn,subsample,20000,random,2,4,LinearSVC,0.7328,0.8075654400000001,0.7254418413481298
human_enhancers_cohn,subsample,20000,random,2,4,RF,0.702,0.7802004,0.6903574397339983
human_enhancers_cohn,subsample,20000,random,2,4,HGB,0.7148,0.79847392,0.7077868852459016
human_enhancers_cohn,subsample,20000,homology@0.7,0,4,LR,0.726,0.8069790400000001,0.7221095334685599
human_enhancers_cohn,subsample,20000,homology@0.7,0,4,LinearSVC,0.7264,0.8065313599999999,0.7219512195121951
human_enhancers_cohn,subsample,20000,homology@0.7,0,4,RF,0.7056,0.78390048,0.6992235390273804
human_enhancers_cohn,subsample,20000,homology@0.7,0,4,HGB,0.7214,0.80284624,0.7176160551388607
human_enhancers_cohn,subsample,20000,homology@0.7,1,4,LR,0.7394,0.8142281599999999,0.7351087619434844
human_enhancers_cohn,subsample,20000,homology@0.7,1,4,LinearSVC,0.7382,0.8147652799999999,0.7344288902414283
human_enhancers_cohn,subsample,20000,homology@0.7,1,4,RF,0.7118,0.78699984,0.7045314742669674
human_enhancers_cohn,subsample,20000,homology@0.7,1,4,HGB,0.7328,0.8122711999999999,0.7297734627831716
human_enhancers_cohn,subsample,20000,homology@0.7,2,4,LR,0.737,0.8183443199999999,0.7312487226650317
human_enhancers_cohn,subsample,20000,homology@0.7,2,4,LinearSVC,0.7384,0.8169777600000001,0.7330612244897959
human_enhancers_cohn,subsample,20000,homology@0.7,2,4,RF,0.717,0.7935401599999999,0.7124568177199756
human_enhancers_cohn,subsample,20000,homology@0.7,2,4,HGB,0.7266,0.80703936,0.7237825823398666
human_enhancers_cohn,subsample,20000,original,-1,6,LR,0.7362,0.8103065599999999,0.7320739386552915
human_enhancers_cohn,subsample,20000,original,-1,6,LinearSVC,0.7144,0.78575312,0.7119806373537717
human_enhancers_cohn,subsample,20000,original,-1,6,RF,0.6932,0.77280704,0.6817427385892116
human_enhancers_cohn,subsample,20000,original,-1,6,HGB,0.7164,0.79264544,0.7108482871125612
human_enhancers_cohn,subsample,20000,random,0,6,LR,0.7256,0.8087390399999999,0.72
human_enhancers_cohn,subsample,20000,random,0,6,LinearSVC,0.7184,0.7887411199999999,0.7160145219846712
human_enhancers_cohn,subsample,20000,random,0,6,RF,0.684,0.7642938399999999,0.6690406367825723
human_enhancers_cohn,subsample,20000,random,0,6,HGB,0.71,0.78917792,0.7028688524590164
human_enhancers_cohn,subsample,20000,random,1,6,LR,0.7402,0.81568992,0.735921935352714
human_enhancers_cohn,subsample,20000,random,1,6,LinearSVC,0.7244,0.7961220800000001,0.7220653489310206
human_enhancers_cohn,subsample,20000,random,1,6,RF,0.6994,0.7718352,0.6895269572402396
human_enhancers_cohn,subsample,20000,random,1,6,HGB,0.713,0.7944625600000002,0.7077988189778049
human_enhancers_cohn,subsample,20000,random,2,6,LR,0.7334,0.8097177600000001,0.7262271513657835
human_enhancers_cohn,subsample,20000,random,2,6,LinearSVC,0.7238,0.79372576,0.7189090168939548
human_enhancers_cohn,subsample,20000,random,2,6,RF,0.69,0.7696168,0.6753246753246753
human_enhancers_cohn,subsample,20000,random,2,6,HGB,0.7032,0.78513824,0.6956521739130435
human_enhancers_cohn,subsample,20000,homology@0.7,0,6,LR,0.7378,0.8144614400000001,0.7318470034771937
human_enhancers_cohn,subsample,20000,homology@0.7,0,6,LinearSVC,0.7214,0.79215504,0.7198873919163483
human_enhancers_cohn,subsample,20000,homology@0.7,0,6,RF,0.6984,0.77229712,0.6888155179529509
human_enhancers_cohn,subsample,20000,homology@0.7,0,6,HGB,0.7168,0.7947526399999999,0.7117263843648208
human_enhancers_cohn,subsample,20000,homology@0.7,1,6,LR,0.7404,0.81701008,0.7378836833602584
human_enhancers_cohn,subsample,20000,homology@0.7,1,6,LinearSVC,0.7248,0.79981648,0.7246898759503801
human_enhancers_cohn,subsample,20000,homology@0.7,1,6,RF,0.6966,0.77274936,0.6832324076007518
human_enhancers_cohn,subsample,20000,homology@0.7,1,6,HGB,0.7238,0.79917856,0.7172978505629478
human_enhancers_cohn,subsample,20000,homology@0.7,2,6,LR,0.7434,0.81887584,0.7393865529148893
