dataset,n_used,split_type,seed,k,model,accuracy,auroc,f1
human_nontata_promoters,36131,original,-1,4,LR,0.8267655523577596,0.8973607901452637,0.8328527181458935
human_nontata_promoters,36131,original,-1,4,RF,0.8907460704007084,0.9811423231102572,0.8912636333590394
human_nontata_promoters,36131,original,-1,6,LR,0.8701571839716626,0.9381149855877176,0.8747463961558997
human_nontata_promoters,36131,original,-1,6,RF,0.931702457383219,0.9938008291971033,0.9341585743250453
human_nontata_promoters,36131,random,0,4,LR,0.8274297099845029,0.8977577793106752,0.8324196495754058
human_nontata_promoters,36131,random,0,4,RF,0.8896391410228027,0.9821670757823519,0.8902828216132938
human_nontata_promoters,36131,random,0,6,LR,0.8691609475315475,0.937423749258146,0.8730670103092784
human_nontata_promoters,36131,random,0,6,RF,0.9330307726367058,0.9938563246963369,0.9355628927468314
human_nontata_promoters,36131,random,1,4,LR,0.83462475094089,0.9053163305200301,0.839974293059126
human_nontata_promoters,36131,random,1,4,RF,0.8952844808501218,0.982815684060443,0.8962264150943396
human_nontata_promoters,36131,random,1,6,LR,0.8806730130617667,0.9427089361090468,0.8849765258215962
human_nontata_promoters,36131,random,1,6,RF,0.9355767102058888,0.994134814793959,0.9380191693290735
human_nontata_promoters,36131,random,2,4,LR,0.8295328758025238,0.8980113248358783,0.8334414882111183
human_nontata_promoters,36131,random,2,4,RF,0.8897498339605933,0.9835997092598945,0.8897986280150476
human_nontata_promoters,36131,random,2,6,LR,0.8749169802966571,0.939287874443347,0.8780487804878049
human_nontata_promoters,36131,random,2,6,RF,0.9287137480628735,0.9944368417010024,0.9308716187204809
human_nontata_promoters,36131,homology@0.7,0,4,LR,0.8234708549939166,0.8933667796061894,0.8297055057618438
human_nontata_promoters,36131,homology@0.7,0,4,RF,0.8103085941820595,0.902661360432244,0.8280356963802266
human_nontata_promoters,36131,homology@0.7,0,6,LR,0.8294436456144232,0.9120258648108488,0.8421052631578947
human_nontata_promoters,36131,homology@0.7,0,6,RF,0.8186041367105409,0.9293941257312264,0.845166163141994
