dataset,model,leaky,n_high,n_novel,mid_band_frac,pos_rate_high,pos_rate_novel,constant_classifier_raw_gap,constant_classifier_balanced_gap,graded_gap_raw,graded_gap_balanced,confound_share
human_enhancers_ensembl,kNN-1,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,0.208,0.4611,1.217
human_enhancers_ensembl,kNN-15,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,-0.6843,0.016,1.023
human_enhancers_ensembl,RF,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,0.2302,0.3193,0.387
human_enhancers_ensembl,ExtraTrees,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,0.2095,0.3697,0.764
human_enhancers_ensembl,MLP,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,0.1592,0.2344,0.473
human_enhancers_ensembl,HGB,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,0.0339,0.1621,3.775
human_enhancers_ensembl,LinearSVC,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,0.0374,0.1437,2.846
human_enhancers_ensembl,LR,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,0.037,0.1538,3.151
human_enhancers_ensembl,GaussianNB,True,11774,18770,0.0138,0.9997,0.1968,0.8029,0.0,-0.2338,0.1289,1.551
human_nontata_promoters,kNN-1,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.1345,0.0955,0.29
human_nontata_promoters,kNN-15,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.1532,-0.0395,1.258
human_nontata_promoters,RF,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.1207,0.2125,0.76
human_nontata_promoters,ExtraTrees,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.0671,0.2175,2.242
human_nontata_promoters,MLP,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.1114,0.2294,1.059
human_nontata_promoters,HGB,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.1372,0.1833,0.336
human_nontata_promoters,LinearSVC,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.0968,0.2007,1.073
human_nontata_promoters,LR,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.0913,0.1388,0.52
human_nontata_promoters,GaussianNB,True,2037,4971,0.2243,0.0015,0.9817,-0.9802,0.0,0.0514,0.141,1.741
human_enhancers_cohn,kNN-1,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.3677,0.3671,0.002
human_enhancers_cohn,kNN-15,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.3377,0.3367,0.003
human_enhancers_cohn,RF,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.3089,0.3087,0.001
human_enhancers_cohn,ExtraTrees,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.3061,0.3058,0.001
human_enhancers_cohn,MLP,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.2634,0.2635,0.0
human_enhancers_cohn,HGB,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.2851,0.285,0.0
human_enhancers_cohn,LinearSVC,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,-0.2126,-0.2127,0.0
human_enhancers_cohn,LR,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.2656,0.2655,0.0
human_enhancers_cohn,GaussianNB,False,2,4966,0.0064,0.0,0.5034,-0.5034,0.0,0.3286,0.3278,0.003
