dataset,leaky,model,sim_bin,n,n_pos,n_neg,pos_rate,accuracy,sensitivity,specificity,balanced_accuracy,auroc,usable
human_nontata_promoters,True,LR,"[0,0.5)",4971,4880,91,0.9817,0.834,0.8344,0.8132,0.8238,0.9059,True
human_nontata_promoters,True,LR,"[0.5,0.7)",392,16,376,0.0408,0.875,0.625,0.8856,0.7553,0.8858,True
human_nontata_promoters,True,LR,"[0.7,0.9)",1634,16,1618,0.0098,0.91,0.6875,0.9122,0.7999,0.8493,True
human_nontata_promoters,True,LR,"[0.9,1.0]",2037,3,2034,0.0015,0.9254,1.0,0.9253,0.9626,0.9992,True
human_nontata_promoters,True,LinearSVC,"[0,0.5)",4971,4880,91,0.9817,0.8546,0.8576,0.6923,0.7749,0.8904,True
human_nontata_promoters,True,LinearSVC,"[0.5,0.7)",392,16,376,0.0408,0.8673,0.8125,0.8697,0.8411,0.8944,True
human_nontata_promoters,True,LinearSVC,"[0.7,0.9)",1634,16,1618,0.0098,0.9137,0.75,0.9153,0.8327,0.8996,True
human_nontata_promoters,True,LinearSVC,"[0.9,1.0]",2037,3,2034,0.0015,0.9514,1.0,0.9513,0.9757,1.0,True
human_nontata_promoters,True,RF,"[0,0.5)",4971,4880,91,0.9817,0.8793,0.8828,0.6923,0.7875,0.9086,True
human_nontata_promoters,True,RF,"[0.5,0.7)",392,16,376,0.0408,0.9082,0.9375,0.9069,0.9222,0.9741,True
human_nontata_promoters,True,RF,"[0.7,0.9)",1634,16,1618,0.0098,0.9933,1.0,0.9932,0.9966,0.9998,True
human_nontata_promoters,True,RF,"[0.9,1.0]",2037,3,2034,0.0015,1.0,1.0,1.0,1.0,1.0,True
human_nontata_promoters,True,HGB,"[0,0.5)",4971,4880,91,0.9817,0.8383,0.8395,0.7692,0.8044,0.8992,True
human_nontata_promoters,True,HGB,"[0.5,0.7)",392,16,376,0.0408,0.8903,0.875,0.891,0.883,0.9372,True
human_nontata_promoters,True,HGB,"[0.7,0.9)",1634,16,1618,0.0098,0.9437,0.625,0.9468,0.7859,0.9298,True
human_nontata_promoters,True,HGB,"[0.9,1.0]",2037,3,2034,0.0015,0.9755,1.0,0.9754,0.9877,1.0,True
human_enhancers_ensembl,True,LR,"[0,0.5)",18770,3694,15076,0.1968,0.7649,0.7179,0.7764,0.7472,0.8203,True
human_enhancers_ensembl,True,LR,"[0.5,0.7)",311,13,298,0.0418,0.9132,1.0,0.9094,0.9547,0.9775,True
human_enhancers_ensembl,True,LR,"[0.7,0.9)",115,8,107,0.0696,0.8957,0.875,0.8972,0.8861,0.972,True
human_enhancers_ensembl,True,LR,"[0.9,1.0]",11774,11770,4,0.9997,0.8019,0.8019,1.0,0.9009,0.9908,True
human_enhancers_ensembl,True,LinearSVC,"[0,0.5)",18770,3694,15076,0.1968,0.782,0.7396,0.7924,0.766,0.8397,True
human_enhancers_ensembl,True,LinearSVC,"[0.5,0.7)",311,13,298,0.0418,0.9196,1.0,0.9161,0.9581,0.9837,True
human_enhancers_ensembl,True,LinearSVC,"[0.7,0.9)",115,8,107,0.0696,0.9043,0.875,0.9065,0.8908,0.9743,True
human_enhancers_ensembl,True,LinearSVC,"[0.9,1.0]",11774,11770,4,0.9997,0.8193,0.8193,1.0,0.9096,0.9858,True
human_enhancers_ensembl,True,RF,"[0,0.5)",18770,3694,15076,0.1968,0.7698,0.5338,0.8276,0.6807,0.7649,True
human_enhancers_ensembl,True,RF,"[0.5,0.7)",311,13,298,0.0418,0.9325,0.6923,0.943,0.8176,0.9763,True
human_enhancers_ensembl,True,RF,"[0.7,0.9)",115,8,107,0.0696,0.9391,0.875,0.9439,0.9095,0.979,True
human_enhancers_ensembl,True,RF,"[0.9,1.0]",11774,11770,4,0.9997,1.0,1.0,1.0,1.0,1.0,True
human_enhancers_ensembl,True,HGB,"[0,0.5)",18770,3694,15076,0.1968,0.7488,0.6971,0.7615,0.7293,0.7995,True
human_enhancers_ensembl,True,HGB,"[0.5,0.7)",311,13,298,0.0418,0.8939,0.6923,0.9027,0.7975,0.9383,True
human_enhancers_ensembl,True,HGB,"[0.7,0.9)",115,8,107,0.0696,0.8696,0.75,0.8785,0.8143,0.9112,True
human_enhancers_ensembl,True,HGB,"[0.9,1.0]",11774,11770,4,0.9997,0.7827,0.7827,1.0,0.8913,0.9967,True
human_enhancers_cohn,False,LR,"[0,0.5)",4966,2500,2466,0.5034,0.7344,0.7208,0.7482,0.7345,0.8083,True
human_enhancers_cohn,False,LR,"[0.5,0.7)",28,0,28,0.0,1.0,,1.0,,,False
human_enhancers_cohn,False,LR,"[0.7,0.9)",4,0,4,0.0,1.0,,1.0,,,False
human_enhancers_cohn,False,LR,"[0.9,1.0]",2,0,2,0.0,1.0,,1.0,,,False
human_enhancers_cohn,False,LinearSVC,"[0,0.5)",4966,2500,2466,0.5034,0.7126,0.706,0.7194,0.7127,0.7836,True
human_enhancers_cohn,False,LinearSVC,"[0.5,0.7)",28,0,28,0.0,1.0,,1.0,,,False
human_enhancers_cohn,False,LinearSVC,"[0.7,0.9)",4,0,4,0.0,1.0,,1.0,,,False
