suite,task,preregistered,n_train,n_test,subsampled,len_med,n_classes,exact_dup_test_in_train,leak_jaccard_0p7,leak_containment_0p7,phi_ge0p9,verdict,prereg_correct,seconds
GUE,prom_core_all,LEAKY,20000,5920,True,70,2,0.0019,0.0054,0.0088,0.0025,clean,False,2.2
GUE,prom_core_notata,LEAKY,20000,5307,True,70,2,0.0015,0.0051,0.0079,0.0024,clean,False,1.4
GUE,prom_core_tata,LEAKY,4904,613,False,70,2,0.0261,0.0408,0.0424,0.0359,clean,False,0.7
GUE,prom_300_all,LEAKY,20000,5920,True,300,2,0.0015,0.0076,0.0093,0.0042,clean,False,7.3
GUE,prom_300_notata,LEAKY,20000,5307,True,300,2,0.0009,0.0053,0.0068,0.003,clean,False,6.5
GUE,prom_300_tata,LEAKY,4904,613,False,300,2,0.0098,0.0277,0.031,0.0228,clean,False,1.0
GUE,human_tf_0,LEAKY,20000,1000,True,101,2,0.0,0.009,0.03,0.001,clean,False,1.6
GUE,human_tf_1,LEAKY,20000,1000,True,101,2,0.0,0.008,0.02,0.001,clean,False,1.6
GUE,human_tf_2,LEAKY,19000,1000,False,101,2,0.0,0.01,0.026,0.002,clean,False,1.4
GUE,human_tf_3,LEAKY,20000,1000,True,101,2,0.001,0.023,0.028,0.007,clean,False,1.5
GUE,human_tf_4,LEAKY,19000,1000,False,101,2,0.0,0.009,0.025,0.004,clean,False,1.4
GUE,emp_H3,CLEAN,11971,1497,False,500,2,0.0,0.0087,0.0922,0.0,clean,True,3.1
GUE,emp_H3K4me3,CLEAN,20000,3680,True,500,2,0.0,0.0106,0.0929,0.0,clean,True,7.6
GUE,emp_H4,CLEAN,11679,1461,False,500,2,0.0,0.011,0.0821,0.0,clean,True,3.3
GUE,virus_covid,CLEAN,20000,9168,True,999,9,0.0394,1.0,1.0,0.999,LEAKY,False,40.5
GUE,mouse_0,CLEAN,6478,810,False,101,2,0.0,0.0,0.0,0.0,clean,True,0.8
GUE,mouse_1,CLEAN,20000,6745,True,101,2,0.0,0.0003,0.0073,0.0,clean,True,3.4
