dataset,threshold,is_shuffled_null_threshold,n_test,n_train,leak_ours,verdict_ours,leak_hashfrag,leak_hashfrag_fwd_only,rev_only_hits,rev_only_frac,verdict_hashfrag,verdicts_agree,both,ours_only,hashfrag_only,neither,agreement,kappa,recall_vs_hashfrag,precision_vs_hashfrag
human_nontata_promoters,20,0,9034,27097,0.4064,LEAKY,0.9349,0.9023,295,0.0327,LEAKY,1,3671,0,4775,588,0.4714,0.091,0.4346,1.0
human_nontata_promoters,25,0,9034,27097,0.4064,LEAKY,0.8164,0.7783,344,0.0381,LEAKY,1,3671,0,3704,1659,0.59,0.2669,0.4978,1.0
human_nontata_promoters,30,0,9034,27097,0.4064,LEAKY,0.7288,0.6935,319,0.0353,LEAKY,1,3671,0,2913,2450,0.6776,0.406,0.5576,1.0
human_nontata_promoters,35,0,9034,27097,0.4064,LEAKY,0.6708,0.6359,315,0.0349,LEAKY,1,3671,0,2389,2974,0.7356,0.5029,0.6058,1.0
human_nontata_promoters,40,0,9034,27097,0.4064,LEAKY,0.6223,0.5868,321,0.0355,LEAKY,1,3671,0,1951,3412,0.784,0.587,0.653,1.0
human_nontata_promoters,44,1,9034,27097,0.4064,LEAKY,0.5891,0.5556,303,0.0335,LEAKY,1,3671,0,1651,3712,0.8172,0.6463,0.6898,1.0
human_nontata_promoters,45,0,9034,27097,0.4064,LEAKY,0.5821,0.5488,301,0.0333,LEAKY,1,3671,0,1588,3775,0.8242,0.6589,0.698,1.0
human_nontata_promoters,50,0,9034,27097,0.4064,LEAKY,0.5525,0.5205,289,0.032,LEAKY,1,3671,0,1320,4043,0.8539,0.7134,0.7355,1.0
human_nontata_promoters,55,0,9034,27097,0.4064,LEAKY,0.5315,0.5021,266,0.0294,LEAKY,1,3671,0,1131,4232,0.8748,0.7525,0.7645,1.0
human_nontata_promoters,60,0,9034,27097,0.4064,LEAKY,0.5167,0.4895,246,0.0272,LEAKY,1,3671,0,997,4366,0.8896,0.7807,0.7864,1.0
human_nontata_promoters,65,0,9034,27097,0.4064,LEAKY,0.5104,0.4838,240,0.0266,LEAKY,1,3671,0,940,4423,0.8959,0.7927,0.7961,1.0
human_nontata_promoters,70,0,9034,27097,0.4064,LEAKY,0.5058,0.4806,227,0.0251,LEAKY,1,3671,0,898,4465,0.9006,0.8016,0.8035,1.0
