dataset,dropout,weight_decay,variant,phi,novel_acc,graded_gap,acc_orig_pred,acc_orig_obs,recon_err,drop_pred_phi_g,drop_obs,drop_err,residual_corr_minus_novel
human_nontata_promoters,0.0,0.0,grid,0.2255,0.8055,0.1317,0.8352,0.8595,-0.0243,0.0297,0.0612,-0.0315,-0.0071
human_nontata_promoters,0.0,0.0001,grid,0.2255,0.8169,0.0849,0.836,0.848,-0.012,0.0191,0.0697,-0.0506,-0.0386
human_nontata_promoters,0.0,0.001,grid,0.2255,0.8224,0.104,0.8459,0.8611,-0.0152,0.0235,0.0421,-0.0186,-0.0035
human_nontata_promoters,0.3,0.0,grid,0.2255,0.7113,0.2391,0.7652,0.8165,-0.0513,0.0539,0.0214,0.0325,0.0837
human_nontata_promoters,0.3,0.0001,grid,0.2255,0.7274,0.2088,0.7745,0.8202,-0.0457,0.0471,0.0426,0.0045,0.0503
human_nontata_promoters,0.3,0.001,grid,0.2255,0.8503,0.0186,0.8545,0.8536,0.0009,0.0042,0.0878,-0.0836,-0.0846
human_nontata_promoters,0.6,0.0,grid,0.2255,0.8214,0.1055,0.8452,0.8627,-0.0175,0.0238,0.0397,-0.0159,0.0016
human_nontata_promoters,0.6,0.0001,grid,0.2255,0.6783,0.2844,0.7424,0.8037,-0.0613,0.0641,-0.0201,0.0842,0.1455
human_nontata_promoters,0.6,0.001,grid,0.2255,0.72,0.2653,0.7798,0.8352,-0.0554,0.0598,0.0296,0.0302,0.0856
human_nontata_promoters,0.0,0.0,manip_check,0.2255,0.8761,0.0748,0.893,0.9021,-0.0091,0.0169,0.101,-0.0841,-0.075
human_enhancers_ensembl,0.0,0.0,grid,0.3802,0.7766,0.11,0.8184,0.82,-0.0016,0.0418,0.0209,0.0209,0.0225
human_enhancers_ensembl,0.0,0.0001,grid,0.3802,0.8219,0.0311,0.8337,0.8352,-0.0015,0.0118,0.0356,-0.0238,-0.0223
human_enhancers_ensembl,0.0,0.001,grid,0.3802,0.8198,-0.0354,0.8063,0.8074,-0.0011,-0.0135,0.058,-0.0715,-0.0704
human_enhancers_ensembl,0.3,0.0,grid,0.3802,0.8358,-0.0316,0.8238,0.8251,-0.0013,-0.012,0.018,-0.03,-0.0287
human_enhancers_ensembl,0.3,0.0001,grid,0.3802,0.815,0.0282,0.8257,0.8272,-0.0015,0.0107,0.0141,-0.0034,-0.0019
human_enhancers_ensembl,0.3,0.001,grid,0.3802,0.7972,0.0871,0.8303,0.8319,-0.0016,0.0331,0.0643,-0.0312,-0.0296
human_enhancers_ensembl,0.6,0.0,grid,0.3802,0.846,-0.0674,0.8204,0.8219,-0.0015,-0.0256,0.0289,-0.0545,-0.0531
human_enhancers_ensembl,0.6,0.0001,grid,0.3802,0.8544,-0.0891,0.8205,0.8218,-0.0013,-0.0339,0.0628,-0.0967,-0.0953
human_enhancers_ensembl,0.6,0.001,grid,0.3802,0.8191,0.0019,0.8198,0.8213,-0.0015,0.0007,0.0159,-0.0152,-0.0137
human_enhancers_ensembl,0.0,0.0,manip_check,0.3802,0.7521,0.2217,0.8364,0.8383,-0.0019,0.0843,0.0763,0.008,0.0099
