dataset,axis,value,phi,novel_acc,graded_gap,acc_orig_pred,acc_orig_obs,recon_err,rf_rank_pred,rf_rank_obs,rank_match
human_enhancers_ensembl,min_samples_leaf,1.0,0.3802,0.7698,0.2302,0.8573,0.8596,-0.0023,1,1,True
human_enhancers_ensembl,min_samples_leaf,5.0,0.3802,0.7441,0.1691,0.8084,0.8107,-0.0023,1,1,True
human_enhancers_ensembl,min_samples_leaf,20.0,0.3802,0.714,0.0908,0.7485,0.7513,-0.0028,4,4,True
human_enhancers_ensembl,min_samples_leaf,50.0,0.3802,0.7048,0.0613,0.7281,0.7309,-0.0028,4,4,True
human_enhancers_ensembl,min_samples_leaf,100.0,0.3802,0.7009,0.0471,0.7188,0.7215,-0.0027,4,4,True
human_enhancers_ensembl,min_samples_leaf,200.0,0.3802,0.6982,0.0357,0.7118,0.7142,-0.0024,4,4,True
human_enhancers_ensembl,min_samples_leaf,500.0,0.3802,0.6942,0.0195,0.7016,0.7038,-0.0022,4,4,True
human_enhancers_ensembl,max_depth,,0.3802,0.7698,0.2302,0.8573,0.8596,-0.0023,1,1,True
human_enhancers_ensembl,max_depth,16.0,0.3802,0.7019,0.1247,0.7493,0.7518,-0.0025,4,4,True
human_enhancers_ensembl,max_depth,8.0,0.3802,0.6638,0.0814,0.6947,0.6973,-0.0026,4,4,True
human_enhancers_ensembl,max_depth,4.0,0.3802,0.6548,0.0643,0.6792,0.6813,-0.0021,4,4,True
human_nontata_promoters,min_samples_leaf,1.0,0.2255,0.8793,0.1207,0.9065,0.9284,-0.0219,1,1,True
human_nontata_promoters,min_samples_leaf,5.0,0.2255,0.8483,0.1188,0.8751,0.8884,-0.0133,3,2,False
human_nontata_promoters,min_samples_leaf,20.0,0.2255,0.7926,0.0911,0.8131,0.8282,-0.0151,4,4,True
human_nontata_promoters,min_samples_leaf,50.0,0.2255,0.7747,0.0682,0.7901,0.8034,-0.0133,4,4,True
human_nontata_promoters,min_samples_leaf,100.0,0.2255,0.7685,0.0612,0.7823,0.7948,-0.0125,4,4,True
human_nontata_promoters,min_samples_leaf,200.0,0.2255,0.7638,0.0585,0.777,0.7888,-0.0118,4,4,True
human_nontata_promoters,min_samples_leaf,500.0,0.2255,0.7578,0.0611,0.7716,0.7843,-0.0127,4,4,True
human_nontata_promoters,max_depth,,0.2255,0.8793,0.1207,0.9065,0.9284,-0.0219,1,1,True
human_nontata_promoters,max_depth,16.0,0.2255,0.7679,0.2243,0.8185,0.858,-0.0395,4,4,True
human_nontata_promoters,max_depth,8.0,0.2255,0.7375,0.1766,0.7773,0.8096,-0.0323,4,4,True
human_nontata_promoters,max_depth,4.0,0.2255,0.7188,0.1614,0.7552,0.7907,-0.0355,4,4,True
