suite,task,arm,model_A,model_B,n_test,n_test_clusters,phi_shipped,acc_A,acc_B,margin_A_minus_B,margin_ci95,margin_se,margin_excl0,mcnemar_b,mcnemar_c,discordant,mde_from_boot_se,mde_from_mcnemar,order,rank_A,rank_B,best,material_inversion_task,residual_leak_after_split,novel_acc_A,novel_acc_B,graded_gap_A,graded_gap_B,delta_nB_minus_nA,Dg_A_minus_B,predicted_margin_at_phi
NT-original,enhancers,as_shipped,LR,LinearSVC,400,400,0.25,0.73,0.7425,-0.0125,"[-0.0450, 0.0175]",0.016,False,17,22,39,0.0315,0.0306,RF>LinearSVC>HGB>LR,4,2,RF,True,0.0,0.68,0.6767,0.2,0.2633,-0.0033,-0.0633,-0.0125
NT-original,enhancers,corrected,LR,LinearSVC,400,363,0.25,0.885,0.8725,0.0125,"[-0.0124, 0.0363]",0.0127,False,12,7,19,0.0249,0.0214,HGB>LR>LinearSVC>RF,2,3,HGB,True,0.0,0.68,0.6767,0.2,0.2633,-0.0033,-0.0633,-0.0125
NT-original,enhancers,as_shipped,LR,RF,400,400,0.25,0.73,0.7675,-0.0375,"[-0.0750, -0.0025]",0.0185,True,19,34,53,0.0362,0.0357,RF>LinearSVC>HGB>LR,4,1,RF,True,0.0,0.68,0.69,0.2,0.31,0.01,-0.11,-0.0375
NT-original,enhancers,corrected,LR,RF,400,363,0.25,0.885,0.8575,0.0275,"[-0.0050, 0.0591]",0.0163,False,22,11,33,0.0319,0.0281,HGB>LR>LinearSVC>RF,2,4,HGB,True,0.0,0.68,0.69,0.2,0.31,0.01,-0.11,-0.0375
NT-original,enhancers,as_shipped,LR,HGB,400,400,0.25,0.73,0.7425,-0.0125,"[-0.0475, 0.0200]",0.0169,False,20,25,45,0.0331,0.0329,RF>LinearSVC>HGB>LR,4,2,RF,True,0.0,0.68,0.6633,0.2,0.3167,-0.0167,-0.1167,-0.0125
NT-original,enhancers,corrected,LR,HGB,400,363,0.25,0.885,0.89,-0.005,"[-0.0332, 0.0227]",0.0143,False,11,13,24,0.0281,0.024,HGB>LR>LinearSVC>RF,2,1,HGB,True,0.0,0.68,0.6633,0.2,0.3167,-0.0167,-0.1167,-0.0125
NT-original,enhancers,as_shipped,LinearSVC,RF,400,400,0.25,0.7425,0.7675,-0.025,"[-0.0675, 0.0150]",0.0209,False,29,39,68,0.0409,0.0404,RF>LinearSVC>HGB>LR,2,1,RF,True,0.0,0.6767,0.69,0.2633,0.31,0.0133,-0.0467,-0.025
NT-original,enhancers,corrected,LinearSVC,RF,400,363,0.25,0.8725,0.8575,0.015,"[-0.0205, 0.0525]",0.0193,False,25,19,44,0.0378,0.0325,HGB>LR>LinearSVC>RF,3,4,HGB,True,0.0,0.6767,0.69,0.2633,0.31,0.0133,-0.0467,-0.025
NT-original,enhancers,as_shipped,LinearSVC,HGB,400,400,0.25,0.7425,0.7425,0.0,"[-0.0375, 0.0375]",0.0185,False,27,27,54,0.0363,0.036,RF>LinearSVC>HGB>LR,2,2,RF,True,0.0,0.6767,0.6633,0.2633,0.3167,-0.0133,-0.0533,-0.0
NT-original,enhancers,corrected,LinearSVC,HGB,400,363,0.25,0.8725,0.89,-0.0175,"[-0.0481, 0.0126]",0.0155,False,12,19,31,0.0304,0.0273,HGB>LR>LinearSVC>RF,3,1,HGB,True,0.0,0.6767,0.6633,0.2633,0.3167,-0.0133,-0.0533,-0.0
NT-original,enhancers,as_shipped,RF,HGB,400,400,0.25,0.7675,0.7425,0.025,"[-0.0025, 0.0525]",0.0142,False,21,11,32,0.0279,0.0277,RF>LinearSVC>HGB>LR,1,2,RF,True,0.0,0.69,0.6633,0.31,0.3167,-0.0267,-0.0067,0.025
NT-original,enhancers,corrected,RF,HGB,400,363,0.25,0.8575,0.89,-0.0325,"[-0.0644, -0.0024]",0.0159,True,10,23,33,0.0311,0.0281,HGB>LR>LinearSVC>RF,4,1,HGB,True,0.0,0.69,0.6633,0.31,0.3167,-0.0267,-0.0067,0.025
