dataset,model,k,original_accuracy,random_accuracy_mean,homology_accuracy_mean,homology_accuracy_std,delta_accuracy_homology,delta_accuracy_random,original_auroc,random_auroc_mean,homology_auroc_mean,homology_auroc_std,delta_auroc_homology,delta_auroc_random,original_f1,random_f1_mean,homology_f1_mean,homology_f1_std,delta_f1_homology,delta_f1_random
human_nontata_promoters,LR,4,0.8234,0.8196,0.8191,0.0046,0.0044,0.0038,0.8942,0.8928,0.8934,0.0032,0.0009,0.0015,0.8289,0.8236,0.8244,0.0037,0.0045,0.0053
human_nontata_promoters,LR,6,0.8618,0.8558,0.8345,0.0057,0.0273,0.0061,0.9269,0.9269,0.9085,0.0016,0.0184,-0.0,0.8656,0.8585,0.8424,0.0044,0.0232,0.0072
human_nontata_promoters,RF,4,0.8604,0.8602,0.8239,0.0067,0.0365,0.0003,0.9574,0.961,0.9015,0.0031,0.0558,-0.0037,0.8601,0.8584,0.8299,0.0051,0.0301,0.0017
human_nontata_promoters,RF,6,0.8936,0.8952,0.8347,0.0073,0.059,-0.0015,0.9782,0.98,0.9257,0.0031,0.0525,-0.0018,0.8961,0.8971,0.8487,0.0055,0.0475,-0.0009
human_enhancers_cohn,LR,4,0.731,0.73,0.7341,0.0058,-0.0031,0.001,0.8086,0.8087,0.8132,0.0047,-0.0046,-0.0002,0.7277,0.7251,0.7295,0.0055,-0.0018,0.0026
human_enhancers_cohn,LR,6,0.7362,0.7331,0.7405,0.0023,-0.0043,0.0031,0.8103,0.8114,0.8168,0.0018,-0.0065,-0.0011,0.7321,0.7274,0.7364,0.0033,-0.0043,0.0047
human_enhancers_cohn,RF,4,0.7012,0.7043,0.7122,0.0039,-0.011,-0.0031,0.7836,0.783,0.7881,0.004,-0.0045,0.0006,0.6995,0.7009,0.71,0.0048,-0.0105,-0.0014
human_enhancers_cohn,RF,6,0.6934,0.6931,0.6988,0.0016,-0.0054,0.0003,0.7728,0.7686,0.774,0.0021,-0.0012,0.0042,0.6866,0.6851,0.6925,0.0016,-0.006,0.0015
human_enhancers_ensembl,LR,4,0.7258,0.7165,0.7262,0.0102,-0.0004,0.0093,0.7912,0.7853,0.7942,0.0121,-0.0029,0.0059,0.7299,0.7181,0.7285,0.0107,0.0013,0.0117
human_enhancers_ensembl,LR,6,0.7605,0.752,0.7496,0.01,0.0109,0.0085,0.8403,0.8298,0.8311,0.0096,0.0092,0.0105,0.7644,0.7546,0.7512,0.0097,0.0132,0.0098
