dataset,scale,split_type,seed,k,model,accuracy,auroc,f1
human_nontata_promoters,full,original,-1,4,LR,0.8267655523577596,0.8973607901452637,0.8328527181458935
human_nontata_promoters,full,original,-1,4,RF,0.8907460704007084,0.9811423231102572,0.8912636333590394
human_nontata_promoters,full,original,-1,6,LR,0.8701571839716626,0.9381149855877176,0.8747463961558997
human_nontata_promoters,full,original,-1,6,RF,0.931702457383219,0.9938008291971033,0.9341585743250453
human_nontata_promoters,full,homology@0.5,0,4,LR,0.8226911179849757,0.8905487193826223,0.8289459661089204
human_nontata_promoters,full,homology@0.5,0,4,RF,0.7676756517896598,0.8804781624052378,0.7981959504845985
human_nontata_promoters,full,homology@0.5,0,6,LR,0.807998232434821,0.8982641227692882,0.8270646766169154
human_nontata_promoters,full,homology@0.5,0,6,RF,0.718625718073354,0.8807031548370422,0.7809409133912445
human_nontata_promoters,full,homology@0.5,1,4,LR,0.8034924845269673,0.8798445010346317,0.8134312696747115
human_nontata_promoters,full,homology@0.5,1,4,RF,0.7652519893899205,0.8747002137785882,0.7939464493597206
human_nontata_promoters,full,homology@0.5,1,6,LR,0.7974137931034483,0.8849279695917336,0.8182088664088069
human_nontata_promoters,full,homology@0.5,1,6,RF,0.7336427939876216,0.8735873620368059,0.7880386983289358
human_nontata_promoters,full,homology@0.5,2,4,LR,0.820569410726109,0.8885906480193837,0.8261334473909324
human_nontata_promoters,full,homology@0.5,2,4,RF,0.7869123813727654,0.8842043680675679,0.8113705187066523
human_nontata_promoters,full,homology@0.5,2,6,LR,0.8036857205914809,0.8926904950589096,0.8225790366011768
human_nontata_promoters,full,homology@0.5,2,6,RF,0.7290885014345619,0.8885670729912308,0.7871694841785869
human_nontata_promoters,full,homology@0.7,0,4,LR,0.8234708549939166,0.8933667796061894,0.8297055057618438
human_nontata_promoters,full,homology@0.7,0,4,RF,0.8103085941820595,0.902661360432244,0.8280356963802266
human_nontata_promoters,full,homology@0.7,0,6,LR,0.8294436456144232,0.9120258648108488,0.8421052631578947
human_nontata_promoters,full,homology@0.7,0,6,RF,0.8186041367105409,0.9293941257312264,0.845166163141994
human_nontata_promoters,full,homology@0.7,1,4,LR,0.8107360265633647,0.8794832575468896,0.8183556405353728
human_nontata_promoters,full,homology@0.7,1,4,RF,0.8050913115661317,0.8887727514894066,0.8246539878522354
human_nontata_promoters,full,homology@0.7,1,6,LR,0.8180409518539015,0.8976058279212153,0.8323817292006526
human_nontata_promoters,full,homology@0.7,1,6,RF,0.8088544548976203,0.9178517373002643,0.83818982479153
human_nontata_promoters,full,homology@0.7,2,4,LR,0.8202831232028313,0.8922896419419688,0.8250995587127328
human_nontata_promoters,full,homology@0.7,2,4,RF,0.8056845830568459,0.894850403896464,0.8238596491228071
human_nontata_promoters,full,homology@0.7,2,6,LR,0.8424021234240212,0.9119578773121844,0.8517632372828462
human_nontata_promoters,full,homology@0.7,2,6,RF,0.8041362530413625,0.9187482522667779,0.8334117204402219
human_nontata_promoters,full,homology@0.9,0,4,LR,0.818262313226342,0.8885782727881332,0.8243850267379679
human_nontata_promoters,full,homology@0.9,0,4,RF,0.8752628666297732,0.9605892714525612,0.8779642663779101
human_nontata_promoters,full,homology@0.9,0,6,LR,0.8574432761483122,0.9281427372921652,0.8630952380952381
human_nontata_promoters,full,homology@0.9,0,6,RF,0.9248478140564471,0.9846664063081819,0.9285939636134188
human_nontata_promoters,full,homology@0.9,1,4,LR,0.8212704736609119,0.8963004910214734,0.825348761760571
human_nontata_promoters,full,homology@0.9,1,4,RF,0.8801460823373174,0.9649969155330007,0.8818072683618902
human_nontata_promoters,full,homology@0.9,1,6,LR,0.8593404161133245,0.9283654694721697,0.8643398441669335
human_nontata_promoters,full,homology@0.9,1,6,RF,0.9245241257193448,0.987014035991126,0.9279069767441861
human_nontata_promoters,full,homology@0.9,2,4,LR,0.8272656855151046,0.8996104568543454,0.8318793753365643
human_nontata_promoters,full,homology@0.9,2,4,RF,0.8789421268119951,0.963518410750838,0.8817808515236655
human_nontata_promoters,full,homology@0.9,2,6,LR,0.8651101029102578,0.9338867985249484,0.8702777482175162
human_nontata_promoters,full,homology@0.9,2,6,RF,0.9264136328427576,0.9850351413130447,0.9302861935213335
human_nontata_promoters,full,droplargest@0.7,0,4,LR,0.825405707890319,0.8942022846095059,0.8331907613344739
human_nontata_promoters,full,droplargest@0.7,0,4,RF,0.816899832120873,0.9029285161172773,0.8347140836532633
human_nontata_promoters,full,droplargest@0.7,0,6,LR,0.8304420817011752,0.9105964581973145,0.8444079285200781
human_nontata_promoters,full,droplargest@0.7,0,6,RF,0.8233911583659765,0.9299664950932013,0.8506530380465644
human_nontata_promoters,full,droplargest@0.7,1,4,LR,0.8158513377364827,0.8852752125679045,0.8242333582647718
human_nontata_promoters,full,droplargest@0.7,1,4,RF,0.8180902272472853,0.8983377298231903,0.835742444152431
human_nontata_promoters,full,droplargest@0.7,1,6,LR,0.8168588380163438,0.8983355523403079,0.8340097402597403
human_nontata_promoters,full,droplargest@0.7,1,6,RF,0.8156274487854024,0.921842821993509,0.8449298559457679
human_nontata_promoters,full,droplargest@0.7,2,4,LR,0.8164316095813745,0.8888903571251914,0.8238074774387624
human_nontata_promoters,full,droplargest@0.7,2,4,RF,0.8060219386612939,0.893946861693001,0.8256714616235791
human_nontata_promoters,full,droplargest@0.7,2,6,LR,0.8385941347660623,0.9080996470714331,0.8496663886572143
human_nontata_promoters,full,droplargest@0.7,2,6,RF,0.8041190955898814,0.9171006444089131,0.8352786144578314
human_enhancers_ensembl,full,original,-1,4,LR,0.7337100419761059,0.8020309278855693,0.7353762233274507
human_enhancers_ensembl,full,original,-1,4,RF,0.8461091378753632,0.93980015866282,0.8526738794435857
human_enhancers_ensembl,full,original,-1,6,LR,0.7809493057797869,0.8572588365275633,0.7811895239323958
human_enhancers_ensembl,full,original,-1,6,RF,0.8556344849854698,0.9428419244763726,0.8606166412070955
human_enhancers_ensembl,full,homology@0.5,0,4,LR,0.7346635670928581,0.8047236214141871,0.7345092718227046
human_enhancers_ensembl,full,homology@0.5,0,4,RF,0.6876856515562444,0.785144614005046,0.6332233723884275
human_enhancers_ensembl,full,homology@0.5,0,6,LR,0.7704701020276379,0.8485194736141921,0.7690308327106143
human_enhancers_ensembl,full,homology@0.5,0,6,RF,0.6988570321580783,0.8029004605327066,0.6436676217765043
human_enhancers_ensembl,full,homology@0.5,1,4,LR,0.7375694175384218,0.8063946703015616,0.7375355205373288
human_enhancers_ensembl,full,homology@0.5,1,4,RF,0.6876856515562444,0.7859568449912233,0.6350499905678174
human_enhancers_ensembl,full,homology@0.5,1,6,LR,0.7767661113263593,0.8551788089207235,0.7760865341019496
human_enhancers_ensembl,full,homology@0.5,1,6,RF,0.7001485212449955,0.8025946016698331,0.6480197081675194
human_enhancers_ensembl,full,homology@0.5,2,4,LR,0.7357290455895648,0.8078551636716665,0.7365371616184375
human_enhancers_ensembl,full,homology@0.5,2,4,RF,0.6904623530931163,0.784122441242884,0.638839706159352
human_enhancers_ensembl,full,homology@0.5,2,6,LR,0.7754746222394421,0.8537561645077778,0.7748202836603847
human_enhancers_ensembl,full,homology@0.5,2,6,RF,0.6987924577037324,0.802144041678054,0.6445689031127367
human_enhancers_ensembl,full,homology@0.7,0,4,LR,0.7404346001097801,0.8060281229873651,0.7414364285484545
human_enhancers_ensembl,full,homology@0.7,0,4,RF,0.695360175648187,0.7893163513644152,0.6459263706983901
human_enhancers_ensembl,full,homology@0.7,0,6,LR,0.7805689193116141,0.8549071988105723,0.7791642295444207
human_enhancers_ensembl,full,homology@0.7,0,6,RF,0.6999128216718866,0.8047274178493009,0.6462393422655298
human_enhancers_ensembl,full,homology@0.7,1,4,LR,0.7379806916147363,0.8072085864306728,0.7391597827135097
human_enhancers_ensembl,full,homology@0.7,1,4,RF,0.6955216169965451,0.79040342836378,0.6467900217244738
human_enhancers_ensembl,full,homology@0.7,1,6,LR,0.7764360207936457,0.8541365143694958,0.7757336270000648
human_enhancers_ensembl,full,homology@0.7,1,6,RF,0.7023344418972587,0.8060254830793023,0.6504379479012626
human_enhancers_ensembl,full,homology@0.7,2,4,LR,0.736568513496061,0.805538401792703,0.7384516749479083
human_enhancers_ensembl,full,homology@0.7,2,4,RF,0.689235438460545,0.7822593705903598,0.6408180020151509
human_enhancers_ensembl,full,homology@0.7,2,6,LR,0.7757974945111714,0.8535125487588541,0.7751295336787565
human_enhancers_ensembl,full,homology@0.7,2,6,RF,0.6973072452537776,0.798442775674688,0.6453833642243825
human_enhancers_ensembl,full,homology@0.9,0,4,LR,0.7334840167904424,0.8062585207502194,0.7331738540117669
human_enhancers_ensembl,full,homology@0.9,0,4,RF,0.6879883758475944,0.7852298667911246,0.6349314292190865
human_enhancers_ensembl,full,homology@0.9,0,6,LR,0.7750080723280595,0.8523526870863403,0.7732361364228065
human_enhancers_ensembl,full,homology@0.9,0,6,RF,0.6925088795608654,0.8021754188656762,0.6347002186505044
human_enhancers_ensembl,full,homology@0.9,1,4,LR,0.7371649983855344,0.8038612429101918,0.7382468325937359
human_enhancers_ensembl,full,homology@0.9,1,4,RF,0.689312237649338,0.7837554336385824,0.6389222455719004
human_enhancers_ensembl,full,homology@0.9,1,6,LR,0.7691314175008073,0.8451116765013358,0.7691015952980689
human_enhancers_ensembl,full,homology@0.9,1,6,RF,0.699354213755247,0.8002908310968702,0.646842404703205
human_enhancers_ensembl,full,homology@0.9,2,4,LR,0.7347432999677107,0.8071214429793223,0.7358945507153191
human_enhancers_ensembl,full,homology@0.9,2,4,RF,0.6929286406199548,0.7883855345482006,0.6428839654524972
human_enhancers_ensembl,full,homology@0.9,2,6,LR,0.7748789150791088,0.852715159379462,0.7746169263593458
human_enhancers_ensembl,full,homology@0.9,2,6,RF,0.7034872457216661,0.8070816427787894,0.6512740667603387
human_enhancers_ensembl,full,droplargest@0.7,0,4,LR,0.7345679012345679,0.80441200714998,0.7335085499205036
human_enhancers_ensembl,full,droplargest@0.7,0,4,RF,0.6889664533643591,0.7861358715115981,0.6350674958289094
human_enhancers_ensembl,full,droplargest@0.7,0,6,LR,0.7737702798784823,0.8493556741518299,0.7717341681340899
human_enhancers_ensembl,full,droplargest@0.7,0,6,RF,0.69507465580764,0.800584708561944,0.6393210749646393
human_enhancers_ensembl,full,droplargest@0.7,1,4,LR,0.7355783214297257,0.807975111980871,0.7356210417474474
human_enhancers_ensembl,full,droplargest@0.7,1,4,RF,0.6923375238341467,0.7871909024369259,0.642239759488914
human_enhancers_ensembl,full,droplargest@0.7,1,6,LR,0.7772678796496785,0.8533035007608518,0.775869918699187
human_enhancers_ensembl,full,droplargest@0.7,1,6,RF,0.7003845780952073,0.8030322756555198,0.6480658998595452
human_enhancers_ensembl,full,droplargest@0.7,2,4,LR,0.7355374571779458,0.803800824995116,0.7369233242244012
human_enhancers_ensembl,full,droplargest@0.7,2,4,RF,0.688093853015319,0.7810930520992287,0.6388774555659494
human_enhancers_ensembl,full,droplargest@0.7,2,6,LR,0.7709908861741323,0.8473797389047384,0.77033771958255
human_enhancers_ensembl,full,droplargest@0.7,2,6,RF,0.6964320341283692,0.7979193443857433,0.6449710851570473
