dataset,variant,model,k,original_acc,corrected_acc_mean,corrected_acc_std,delta_acc
human_nontata_promoters,homology@0.5,LR,4,0.8268,0.8156,0.0086,0.0112
human_nontata_promoters,homology@0.7,LR,4,0.8268,0.8182,0.0054,0.0086
human_nontata_promoters,homology@0.9,LR,4,0.8268,0.8223,0.0037,0.0045
human_nontata_promoters,droplargest@0.7,LR,4,0.8268,0.8192,0.0044,0.0075
human_nontata_promoters,homology@0.5,LR,6,0.8702,0.803,0.0043,0.0671
human_nontata_promoters,homology@0.7,LR,6,0.8702,0.83,0.01,0.0402
human_nontata_promoters,homology@0.9,LR,6,0.8702,0.8606,0.0033,0.0095
human_nontata_promoters,droplargest@0.7,LR,6,0.8702,0.8286,0.009,0.0415
human_nontata_promoters,homology@0.5,RF,4,0.8907,0.7733,0.0097,0.1175
human_nontata_promoters,homology@0.7,RF,4,0.8907,0.807,0.0023,0.0837
human_nontata_promoters,homology@0.9,RF,4,0.8907,0.8781,0.0021,0.0126
human_nontata_promoters,droplargest@0.7,RF,4,0.8907,0.8137,0.0054,0.0771
human_nontata_promoters,homology@0.5,RF,6,0.9317,0.7271,0.0063,0.2046
human_nontata_promoters,homology@0.7,RF,6,0.9317,0.8105,0.006,0.1212
human_nontata_promoters,homology@0.9,RF,6,0.9317,0.9253,0.0008,0.0064
human_nontata_promoters,droplargest@0.7,RF,6,0.9317,0.8144,0.0079,0.1173
human_enhancers_ensembl,homology@0.5,LR,4,0.7337,0.736,0.0012,-0.0023
human_enhancers_ensembl,homology@0.7,LR,4,0.7337,0.7383,0.0016,-0.0046
human_enhancers_ensembl,homology@0.9,LR,4,0.7337,0.7351,0.0015,-0.0014
human_enhancers_ensembl,droplargest@0.7,LR,4,0.7337,0.7352,0.0005,-0.0015
human_enhancers_ensembl,homology@0.5,LR,6,0.7809,0.7742,0.0027,0.0067
human_enhancers_ensembl,homology@0.7,LR,6,0.7809,0.7776,0.0021,0.0033
human_enhancers_ensembl,homology@0.9,LR,6,0.7809,0.773,0.0027,0.0079
human_enhancers_ensembl,droplargest@0.7,LR,6,0.7809,0.774,0.0026,0.0069
human_enhancers_ensembl,homology@0.5,RF,4,0.8461,0.6886,0.0013,0.1575
human_enhancers_ensembl,homology@0.7,RF,4,0.8461,0.6934,0.0029,0.1527
human_enhancers_ensembl,homology@0.9,RF,4,0.8461,0.6901,0.0021,0.156
human_enhancers_ensembl,droplargest@0.7,RF,4,0.8461,0.6898,0.0018,0.1563
human_enhancers_ensembl,homology@0.5,RF,6,0.8556,0.6993,0.0006,0.1564
human_enhancers_ensembl,homology@0.7,RF,6,0.8556,0.6999,0.0021,0.1558
human_enhancers_ensembl,homology@0.9,RF,6,0.8556,0.6985,0.0045,0.1572
human_enhancers_ensembl,droplargest@0.7,RF,6,0.8556,0.6973,0.0023,0.1583
