dataset,model,leaky,n,phi,n_high_bin,novel_acc,leaked_acc,graded_gap,acc_orig,acc_corr,drop,drop_ci,drop_excl0,family,rank_orig,rank_corr,order_orig,order_corr,top_orig,top_corr,runner_up_orig,top2_margin_orig,top2_margin_orig_ci,top2_orig_is_tie,swap_margin_orig_ci,swap_margin_corr_ci,ranking_inverts
human_nontata_promoters,kNN-1,True,36131,0.2255,2037,0.865,0.9995,0.1345,0.9252,0.8829,0.0423,"[0.0302, 0.0545]",True,memorizer,3,1,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,kNN-15,True,36131,0.2255,2037,0.8071,0.9602,0.1532,0.8725,0.8304,0.042,"[0.0284, 0.0564]",True,memorizer,7,2,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,RF,True,36131,0.2255,2037,0.8793,1.0,0.1207,0.9284,0.82,0.1083,"[0.0925, 0.1259]",True,memorizer,2,5,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,ExtraTrees,True,36131,0.2255,2037,0.9324,0.9995,0.0671,0.9597,0.7931,0.1667,"[0.1480, 0.1868]",True,memorizer,1,8,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,MLP,True,36131,0.2255,2037,0.8773,0.9887,0.1114,0.9163,0.8062,0.1101,"[0.0942, 0.1272]",True,other,4,7,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,HGB,True,36131,0.2255,2037,0.8383,0.9755,0.1372,0.8905,0.827,0.0635,"[0.0481, 0.0800]",True,other,5,4,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,LinearSVC,True,36131,0.2255,2037,0.8546,0.9514,0.0968,0.8876,0.8083,0.0793,"[0.0618, 0.0960]",True,linear,6,6,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,LR,True,36131,0.2255,2037,0.834,0.9254,0.0913,0.8702,0.8294,0.0407,"[0.0245, 0.0569]",True,linear,8,3,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_nontata_promoters,GaussianNB,True,36131,0.2255,2037,0.7654,0.8169,0.0514,0.7868,0.7861,0.0007,"[-0.0178, 0.0200]",False,other,9,9,ExtraTrees>RF>kNN-1>MLP>HGB>LinearSVC>kNN-15>LR>GaussianNB,kNN-1>kNN-15>LR>HGB>RF>LinearSVC>MLP>ExtraTrees>GaussianNB,ExtraTrees,kNN-1,RF,0.0313,"[0.0274, 0.0353]",False,"[0.0282, 0.0406]","[0.0707, 0.1086]",True
human_enhancers_ensembl,kNN-1,True,154842,0.3802,11774,0.792,0.9999,0.208,0.8729,0.537,0.3359,"[0.3254, 0.3453]",True,memorizer,2,9,MLP>kNN-1>ExtraTrees>RF>LinearSVC>LR>HGB>GaussianNB>kNN-15,LinearSVC>LR>MLP>HGB>RF>GaussianNB>ExtraTrees>kNN-15>kNN-1,MLP,LinearSVC,kNN-1,0.0007,"[-0.0046, 0.0058]",True,"[0.0713, 0.0801]","[0.0238, 0.0348]",True
