experiment,dataset,leaky,n,arm,trio,n_test,acc1,acc2,acc3,top3_spread,spread_ci_lo,spread_ci_hi,mean_acc,note
roster_spread,human_enhancers_ensembl,True,154842,as_shipped_split/as_shipped_top3,MLP>kNN-1>ExtraTrees,,0.8736,0.8729,0.8721,0.0015,,,0.8729,top-3 chosen and scored on the as-shipped split; point estimates from roster_rankings.csv
roster_spread,human_enhancers_ensembl,True,154842,corrected_split/as_shipped_top3,MLP>kNN-1>ExtraTrees,,0.7684,0.537,0.6278,0.2314,,,0.6444,SAME three models on the corrected split -- the paper's 23-point statistic; point estimates from roster_rankings.csv
roster_spread,human_enhancers_ensembl,True,154842,corrected_split/corrected_top3,LinearSVC>LR>MLP,,0.7975,0.7806,0.7684,0.0291,,,0.7822,top-3 chosen and scored on the corrected split; point estimates from roster_rankings.csv
roster_spread,human_nontata_promoters,True,36131,as_shipped_split/as_shipped_top3,ExtraTrees>RF>kNN-1,,0.9597,0.9284,0.9252,0.0345,,,0.9378,top-3 chosen and scored on the as-shipped split; point estimates from roster_rankings.csv
roster_spread,human_nontata_promoters,True,36131,corrected_split/as_shipped_top3,ExtraTrees>RF>kNN-1,,0.7931,0.82,0.8829,0.0898,,,0.832,SAME three models on the corrected split -- the paper's 23-point statistic; point estimates from roster_rankings.csv
roster_spread,human_nontata_promoters,True,36131,corrected_split/corrected_top3,kNN-1>kNN-15>LR,,0.8829,0.8304,0.8294,0.0535,,,0.8476,top-3 chosen and scored on the corrected split; point estimates from roster_rankings.csv
roster_spread,human_enhancers_cohn,False,20000,as_shipped_split/as_shipped_top3,MLP>LR>HGB,5000.0,0.7382,0.7362,0.7164,0.0218,0.012,0.0328,0.7303,top-3 chosen and scored on the as-shipped split
roster_spread,human_enhancers_cohn,False,20000,corrected_split/as_shipped_top3,MLP>LR>HGB,5000.0,0.7334,0.7378,0.7168,0.021,0.0102,0.0318,0.7293,SAME three models scored on the corrected split -- the paper's 23-point statistic
roster_spread,human_enhancers_cohn,False,20000,corrected_split/corrected_top3,LR>MLP>LinearSVC,5000.0,0.7378,0.7334,0.7214,0.0164,0.008,0.025,0.7309,top-3 chosen and scored on the corrected split
roster_spread,demo_human_or_worm,False,20000,as_shipped_split/as_shipped_top3,MLP>LinearSVC>LR,5000.0,0.946,0.939,0.9374,0.0086,0.005,0.0134,0.9408,top-3 chosen and scored on the as-shipped split
roster_spread,demo_human_or_worm,False,20000,corrected_split/as_shipped_top3,MLP>LinearSVC>LR,5000.0,0.9464,0.9416,0.9408,0.0056,0.0026,0.0104,0.9429,SAME three models scored on the corrected split -- the paper's 23-point statistic
roster_spread,demo_human_or_worm,False,20000,corrected_split/corrected_top3,MLP>LinearSVC>LR,5000.0,0.9464,0.9416,0.9408,0.0056,0.0026,0.0104,0.9429,top-3 chosen and scored on the corrected split
difficulty_matched,human_enhancers_ensembl,True,154842,as_shipped_split/difficulty_matched_to_0.6951,MLP>kNN-1>ExtraTrees,15485.0,0.6827,0.8251,0.7256,0.1424,0.1373,0.1483,0.7444,as-shipped test set re-weighted on a held-out difficulty panel (LR+LinearSVC+GaussianNB) to the corrected operating point 0.6951; 200 draws of n=15485; leak fraction sim>=0.9 0.4055 in the draw against 0.3802 in the full as-shipped test set
difficulty_matched,human_enhancers_ensembl,True,154842,as_shipped_split/as_shipped_top3,MLP>kNN-1>ExtraTrees,30971.0,0.8736,0.8729,0.8721,0.0015,,,0.8729,"reference, from roster_rankings.csv"
difficulty_matched,human_enhancers_ensembl,True,154842,corrected_split/as_shipped_top3,MLP>kNN-1>ExtraTrees,,0.7684,0.537,0.6278,0.2314,,,0.6444,"reference, the paper's 23-point statistic, from roster_rankings.csv"
