dataset,threshold,model,k,leakage_fraction,corrected_acc_mean,corrected_acc_std,delta_acc
human_nontata_promoters,0.5,LR,4,0.4035,0.8158,0.0114,0.0076
human_nontata_promoters,0.5,LR,6,0.4035,0.8127,0.0106,0.0491
human_nontata_promoters,0.5,RF,4,0.4035,0.7972,0.008,0.0633
human_nontata_promoters,0.5,RF,6,0.4035,0.7677,0.0125,0.126
human_nontata_promoters,0.7,LR,4,0.3197,0.8191,0.0046,0.0044
human_nontata_promoters,0.7,LR,6,0.3197,0.8345,0.0057,0.0273
human_nontata_promoters,0.7,RF,4,0.3197,0.8239,0.0067,0.0365
human_nontata_promoters,0.7,RF,6,0.3197,0.8347,0.0073,0.059
human_nontata_promoters,0.9,LR,4,0.1428,0.823,0.0035,0.0005
human_nontata_promoters,0.9,LR,6,0.1428,0.8538,0.0008,0.0081
human_nontata_promoters,0.9,RF,4,0.1428,0.8488,0.0027,0.0116
human_nontata_promoters,0.9,RF,6,0.1428,0.8807,0.0027,0.0129
human_enhancers_cohn,0.5,LR,4,0.0068,0.738,0.0042,-0.007
human_enhancers_cohn,0.5,LR,6,0.0068,0.7417,0.002,-0.0055
human_enhancers_cohn,0.5,RF,4,0.0068,0.7127,0.0044,-0.0115
human_enhancers_cohn,0.5,RF,6,0.0068,0.701,0.003,-0.0076
human_enhancers_cohn,0.7,LR,4,0.0012,0.7341,0.0058,-0.0031
human_enhancers_cohn,0.7,LR,6,0.0012,0.7405,0.0023,-0.0043
human_enhancers_cohn,0.7,RF,4,0.0012,0.7122,0.0039,-0.011
human_enhancers_cohn,0.7,RF,6,0.0012,0.6988,0.0016,-0.0054
human_enhancers_cohn,0.9,LR,4,0.0004,0.7343,0.0061,-0.0033
human_enhancers_cohn,0.9,LR,6,0.0004,0.7389,0.0044,-0.0027
human_enhancers_cohn,0.9,RF,4,0.0004,0.7099,0.0061,-0.0087
human_enhancers_cohn,0.9,RF,6,0.0004,0.6954,0.0028,-0.002
human_enhancers_ensembl,0.5,LR,4,0.0607,0.7155,0.0049,0.0103
human_enhancers_ensembl,0.5,LR,6,0.0607,0.7529,0.007,0.0076
human_enhancers_ensembl,0.5,RF,4,0.0607,0.6938,0.0029,0.0229
human_enhancers_ensembl,0.5,RF,6,0.0607,0.7077,0.0034,0.026
human_enhancers_ensembl,0.7,LR,4,0.056,0.7262,0.0102,-0.0004
human_enhancers_ensembl,0.7,LR,6,0.056,0.7496,0.01,0.0109
human_enhancers_ensembl,0.7,RF,4,0.056,0.7037,0.0123,0.013
human_enhancers_ensembl,0.7,RF,6,0.056,0.7137,0.0096,0.0201
human_enhancers_ensembl,0.9,LR,4,0.054,0.7179,0.011,0.0078
human_enhancers_ensembl,0.9,LR,6,0.054,0.7498,0.0086,0.0107
human_enhancers_ensembl,0.9,RF,4,0.054,0.701,0.0094,0.0157
human_enhancers_ensembl,0.9,RF,6,0.054,0.7147,0.0116,0.0191
human_ocr_ensembl,0.5,LR,4,0.015,0.6558,0.006,-0.0063
human_ocr_ensembl,0.5,LR,6,0.015,0.6837,0.0056,-0.0067
human_ocr_ensembl,0.5,RF,4,0.015,0.6508,0.0043,0.0137
human_ocr_ensembl,0.5,RF,6,0.015,0.6567,0.0006,-0.0027
human_ocr_ensembl,0.7,LR,4,0.0015,0.6484,0.006,0.0011
human_ocr_ensembl,0.7,LR,6,0.0015,0.6732,0.0015,0.0038
human_ocr_ensembl,0.7,RF,4,0.0015,0.646,0.0064,0.0185
human_ocr_ensembl,0.7,RF,6,0.0015,0.6439,0.0059,0.0101
human_ocr_ensembl,0.9,LR,4,0.0,0.6536,0.0031,-0.0041
human_ocr_ensembl,0.9,LR,6,0.0,0.6754,0.0084,0.0016
human_ocr_ensembl,0.9,RF,4,0.0,0.6516,0.0081,0.0129
human_ocr_ensembl,0.9,RF,6,0.0,0.6463,0.0048,0.0077
demo_human_or_worm,0.5,LR,4,0.0098,0.9354,0.0023,-0.0076
demo_human_or_worm,0.5,LR,6,0.0098,0.9391,0.0005,-0.0017
demo_human_or_worm,0.5,RF,4,0.0098,0.9335,0.0008,-0.0025
demo_human_or_worm,0.5,RF,6,0.0098,0.918,0.0004,0.0
demo_human_or_worm,0.7,LR,4,0.0032,0.9369,0.0015,-0.0091
demo_human_or_worm,0.7,LR,6,0.0032,0.9414,0.0004,-0.004
demo_human_or_worm,0.7,RF,4,0.0032,0.9366,0.0019,-0.0056
demo_human_or_worm,0.7,RF,6,0.0032,0.9227,0.0015,-0.0047
demo_human_or_worm,0.9,LR,4,0.0012,0.9325,0.0026,-0.0047
demo_human_or_worm,0.9,LR,6,0.0012,0.9427,0.0015,-0.0053
demo_human_or_worm,0.9,RF,4,0.0012,0.9361,0.0022,-0.0051
demo_human_or_worm,0.9,RF,6,0.0012,0.9219,0.0016,-0.0039
demo_coding_vs_intergenomic_seqs,0.5,LR,4,0.0486,0.8848,0.0018,-0.0012
demo_coding_vs_intergenomic_seqs,0.5,LR,6,0.0486,0.8939,0.0029,-0.0061
