dataset,split_seed,train_seed,acc_orig,acc_corr,delta
human_nontata_promoters,0,0,0.9284,0.82,0.1083
human_nontata_promoters,0,1,0.928,0.8161,0.112
human_nontata_promoters,0,2,0.9298,0.8239,0.1059
human_nontata_promoters,0,3,0.9298,0.8249,0.1049
human_nontata_promoters,0,4,0.9272,0.8214,0.1058
human_nontata_promoters,1,0,0.9284,0.8113,0.1171
human_nontata_promoters,1,1,0.928,0.8091,0.119
human_nontata_promoters,1,2,0.9298,0.8157,0.1141
human_nontata_promoters,1,3,0.9298,0.8173,0.1126
human_nontata_promoters,1,4,0.9272,0.8167,0.1105
human_nontata_promoters,2,0,0.9284,0.8073,0.121
human_nontata_promoters,2,1,0.928,0.813,0.1151
human_nontata_promoters,2,2,0.9298,0.8109,0.1189
human_nontata_promoters,2,3,0.9298,0.8066,0.1233
human_nontata_promoters,2,4,0.9272,0.805,0.1221
human_nontata_promoters,3,0,0.9284,0.8036,0.1247
human_nontata_promoters,3,1,0.928,0.8044,0.1236
human_nontata_promoters,3,2,0.9298,0.8088,0.121
human_nontata_promoters,3,3,0.9298,0.8046,0.1252
human_nontata_promoters,3,4,0.9272,0.8072,0.12
human_nontata_promoters,4,0,0.9284,0.808,0.1203
human_nontata_promoters,4,1,0.928,0.8048,0.1232
human_nontata_promoters,4,2,0.9298,0.8052,0.1247
human_nontata_promoters,4,3,0.9298,0.8032,0.1267
human_nontata_promoters,4,4,0.9272,0.8102,0.1169
