dataset,cls,id,chrom,start,end,strand,len_shipped,len_interval,hg38_halfopen,hg38_fwd_ignorestrand,hg38_onebased,hg19_halfopen,hg19_fwd_ignorestrand,hg19_onebased,hg19_halfopen_unevaluable,hg19_onebased_unevaluable,access_date,api
human_enhancers_ensembl,negative,4879,chr18,66296994,66297360,+,366,366,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,9052,chr3,114165845,114166179,+,334,334,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,9995,chr9,2696831,2697049,+,218,218,True,True,False,True,True,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,5144,chr13,63622578,63622642,+,64,64,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,2758,chrY,8446133,8446614,+,481,481,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,15243,chr20,50778478,50778565,+,87,87,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,12003,chr5,170239720,170239964,+,244,244,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,6273,chr1,143563608,143563790,+,182,182,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,5936,chr4,72528108,72528380,+,272,272,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,2297,chr2,178390719,178390870,+,151,151,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,6859,chr9,84131753,84131942,+,189,189,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,7729,chr8,38108665,38108976,+,311,311,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,negative,5268,chr2,186176006,186176347,+,341,341,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,2379,chr8,17336704,17336710,+,6,6,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,9292,chr17,36055983,36056443,+,460,460,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,4752,chr3,179885853,179886176,+,323,323,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,8199,chr3,108123016,108123149,+,133,133,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,2428,chr8,136213685,136214085,+,400,400,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,5689,chr13,32114469,32114859,+,390,390,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,3054,chr1,148956938,148957271,-,333,333,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,10403,chr10,46455945,46456238,-,293,293,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,2818,chr10,46541257,46541376,-,119,119,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,529,chr1,206080428,206080783,-,355,355,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,9264,chr1,206036553,206036950,-,397,397,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_enhancers_ensembl,positive,243,chr6,157269598,157269988,-,390,390,True,False,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,16298,chrX,156002633,156002884,+,251,251,True,True,False,,,,fetch_failed,fetch_failed,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
human_nontata_promoters,negative,15983,chrX,154322760,154323011,+,251,251,True,True,False,False,False,False,,,2026-07-20,https://api.genome.ucsc.edu/getData/sequence
