dataset,band,test_idx,train_idx,jaccard8,flagged,test_label,train_label,sw_score,sw_identity,sw_coverage,sw_aln_len,len_test,len_train,homolog,homolog_strict,homolog_loose
human_nontata_promoters,j_lt_0p1,27408,26737,0.0,0,0,1,137.0,0.3931297709923664,0.4103585657370518,262,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27321,22550,0.00413223123177886,0,0,1,220.0,0.4186046511627907,0.50199203187251,301,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27463,9621,0.008350730873644352,0,0,0,146.5,0.4350282485875706,0.30677290836653387,177,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27263,11847,0.0020964359864592552,0,0,0,217.5,0.4349315068493151,0.5059760956175299,292,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27449,4965,0.0,0,0,0,202.0,0.436241610738255,0.5179282868525896,298,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27115,7674,0.002087682718411088,0,0,0,238.0,0.47038327526132406,0.5378486055776892,287,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27218,16180,0.010593220591545105,0,0,1,144.0,0.38114754098360654,0.3705179282868526,244,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27216,6612,0.0147368423640728,0,0,0,213.0,0.45054945054945056,0.4900398406374502,273,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27464,7010,0.010570824146270752,0,0,0,258.0,0.48,0.5737051792828686,300,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27493,23132,0.0021052630618214607,0,0,1,170.5,0.450199203187251,0.450199203187251,251,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27264,2991,0.0,0,0,0,95.5,0.3741721854304636,0.450199203187251,302,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27474,728,0.0021052630618214607,0,0,0,95.5,0.35968379446640314,0.36254980079681276,253,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27323,17076,0.0,0,0,1,229.5,0.47058823529411764,0.5418326693227091,289,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27423,8685,0.014583333395421505,0,0,0,227.5,0.45787545787545786,0.49800796812749004,273,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27175,2592,0.0,0,0,0,176.0,0.40298507462686567,0.4302788844621514,268,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27363,19427,0.002061855746433139,0,0,1,139.5,0.3815261044176707,0.3784860557768924,249,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27471,18618,0.0,0,0,1,162.5,0.3916083916083916,0.44621513944223107,286,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27152,23391,0.0,0,0,1,191.0,0.47035573122529645,0.47410358565737054,253,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27401,13957,0.004115226212888956,0,0,1,238.0,0.47440273037542663,0.5537848605577689,293,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27397,9602,0.0,0,0,0,189.5,0.4368231046931408,0.4820717131474104,277,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27153,8311,0.004140786826610565,0,0,0,205.5,0.4981684981684982,0.5418326693227091,273,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27359,15501,0.006211180239915848,0,0,1,170.0,0.39655172413793105,0.4581673306772908,290,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27220,16175,0.006493506487458944,0,0,1,216.0,0.5176470588235295,0.5258964143426295,255,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27288,19264,0.0,0,0,1,186.5,0.4456140350877193,0.5059760956175299,285,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27495,20882,0.004282655194401741,0,0,1,149.0,0.42033898305084744,0.4940239043824701,295,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27322,23303,0.004535147454589605,0,0,1,247.5,0.5234657039711191,0.5776892430278885,277,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27352,21233,0.002057613106444478,0,0,1,255.0,0.4807017543859649,0.545816733067729,285,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27137,15863,0.002074688905850053,0,0,1,205.0,0.4517241379310345,0.5219123505976095,290,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27466,7254,0.0,0,0,0,161.0,0.40064102564102566,0.49800796812749004,312,251,251,0,0,0
human_nontata_promoters,j_lt_0p1,27216,20523,0.014893617480993271,0,0,1,253.0,0.4753521126760563,0.5378486055776892,284,251,251,0,0,0
